rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[0.59 0.59 0.59],2146,688,720,738,3,1,1,1,8,6,6,0.0027958993476234857,0.0027958993476234857,0
[0.59 0.59 2.24],3982,666,698,2618,4,1,2,1,11,7,10,0.0017579105976896032,0.0025113008538422904,0
[0.59 0.59 4.  ],6196,694,690,4812,5,1,1,3,12,11,13,0.0017753389283408653,0.0020981278244028407,2
[0.59 0.59 6.79],9532,673,676,8183,4,1,0,3,9,9,11,0.0009441879983214435,0.0011540075535039864,2
[0.59 0.59 7.11],9837,718,699,8420,6,1,1,4,14,13,16,0.001321541120260242,0.0016265121480126055,2
[0.59 0.59 8.09],11011,704,716,9591,6,1,1,4,14,13,17,0.001180637544273908,0.0015439106348197258,2
[0.59 0.59 8.92],12147,699,710,10738,7,1,1,5,16,15,19,0.0012348728081007655,0.0015641722235943034,2
[0.59 2.24 0.59],4091,685,2742,664,2,1,0,1,5,5,5,0.0012221950623319481,0.0012221950623319481,0
[0.59 2.24 2.24],6146,724,2745,2677,3,1,1,1,8,7,7,0.0011389521640091116,0.0011389521640091116,2
[0.59 2.24 4.  ],8114,694,2608,4812,5,1,1,3,12,11,13,0.0013556815380823268,0.0016021690904609318,2
[0.59 2.24 6.79],11604,711,2659,8234,6,1,1,4,14,13,16,0.0011203033436745947,0.0013788348845225785,2
[0.59 2.24 7.11],11936,691,2676,8569,6,1,1,4,14,13,16,0.001089142091152815,0.0013404825737265414,2
[0.59 2.24 8.09],13141,717,2605,9819,8,1,1,6,18,17,22,0.00129366106080207,0.0016741496080967962,2
[0.59 2.24 8.92],14171,710,2660,10801,7,1,1,5,16,15,19,0.0010584997530167244,0.001340766353821184,2
[0.59 4.   0.59],6257,734,4829,694,3,1,1,1,8,7,7,0.001118747003356241,0.001118747003356241,2
[0.59 4.   2.24],8221,690,4854,2677,3,2,0,1,8,7,8,0.0008514779223938693,0.0009731176255929935,0
[0.59 4.   4.  ],10191,690,4747,4754,4,1,1,2,10,9,13,0.0008831321754489256,0.001275635364537337,2
[0.59 4.   6.79],13727,714,4856,8157,6,1,1,4,14,13,18,0.0009470386828877396,0.0013112843301522547,2
[0.59 4.   7.11],13981,702,4675,8604,7,1,1,5,16,15,24,0.0010728846291395463,0.0017166154066232744,2
[0.59 4.   8.09],15015,704,4742,9569,6,1,1,4,14,13,17,0.0008658008658008657,0.0011322011322011322,2
[0.59 4.   8.92],16329,715,4791,10823,8,1,1,6,18,17,28,0.0010410925347541183,0.0017147406454773714,2
[0.59 6.79 0.59],9434,703,8059,672,4,1,2,1,11,9,16,0.0009539961840152641,0.0016959932160271359,1
[0.59 6.79 2.24],11650,713,8214,2723,4,1,2,1,11,10,15,0.0008583690987124463,0.0012875536480686696,1
[0.59 6.79 4.  ],13743,763,8133,4847,5,1,1,3,12,11,17,0.0008004074801717237,0.0012369933784472096,1
[0.59 6.79 6.79],16912,723,8004,8185,9,1,4,4,23,16,37,0.0009460737937559131,0.002187795648060549,0
[0.59 6.79 7.11],17243,731,8016,8496,8,2,2,4,20,17,28,0.0009859073247114774,0.0016238473583483153,2
[0.59 6.79 8.09],18425,716,8084,9625,7,1,1,5,16,16,24,0.0008683853459972862,0.0013025780189959296,3
[0.59 6.79 8.92],19392,709,8145,10538,8,1,2,5,19,19,31,0.0009797854785478547,0.0015985973597359734,3
[0.59 7.11 0.59],9936,733,8508,695,5,1,2,2,13,11,17,0.0011070853462157811,0.0017109500805152981,1
[0.59 7.11 2.24],11906,679,8559,2668,4,1,2,1,11,11,20,0.0009239039139929447,0.0016798252981689904,3
[0.59 7.11 4.  ],13889,758,8442,4689,4,1,2,1,11,9,12,0.0006479948160414715,0.0008639930880552956,1
[0.59 7.11 6.79],17359,733,8676,7950,8,1,3,4,20,17,27,0.0009793190852007603,0.0015553891353188548,1
[0.59 7.11 7.11],18102,714,8643,8745,8,2,2,4,20,17,28,0.0009391227488675283,0.0015467904098994587,2
[0.59 7.11 8.09],19004,736,8571,9697,7,1,2,4,17,15,30,0.0007893075142075352,0.0015786150284150704,2
[0.59 7.11 8.92],20051,766,8560,10725,9,1,2,6,21,21,35,0.00104732931025884,0.0017455488504314,3
[0.59 8.09 0.59],11141,783,9705,653,5,1,2,2,13,12,25,0.0010771025940220806,0.002243963737546001,1
[0.59 8.09 2.24],13146,730,9676,2740,5,1,2,2,13,13,25,0.0009888939601399665,0.00190171915411532,3
[0.59 8.09 4.  ],15177,696,9714,4767,6,1,3,2,16,14,30,0.0009224484417210252,0.00197667523225934,2
[0.59 8.09 6.79],18421,710,9618,8093,6,1,2,3,15,13,24,0.0007057163020465772,0.001302860865316758,2
[0.59 8.09 7.11],18922,716,9768,8438,7,1,2,4,17,17,30,0.0008984251136243526,0.0015854560828665045,3
[0.59 8.09 8.09],20128,687,9742,9699,8,1,3,4,20,20,39,0.0009936406995230524,0.0019375993640699523,3
[0.59 8.09 8.92],21211,750,9713,10748,10,2,3,5,25,21,40,0.0009900523313375136,0.0018858139644524067,2
[0.59 8.92 0.59],12046,703,10626,717,5,1,3,1,14,13,27,0.001079196413747302,0.002241407936244397,1
[0.59 8.92 2.24],14246,731,10804,2711,7,1,4,2,19,16,25,0.0011231222799382282,0.0017548785624034815,1
[0.59 8.92 4.  ],16338,673,10707,4958,7,2,3,2,19,15,31,0.000918105031215571,0.00189741706451218,2
[0.59 8.92 6.79],19610,727,10696,8187,7,1,2,4,17,17,34,0.0008669046404895461,0.0017338092809790922,3
[0.59 8.92 7.11],20035,739,10793,8503,9,1,4,4,23,20,38,0.0009982530571499876,0.0018966808085849765,1
[0.59 8.92 8.09],21113,674,10699,9740,8,1,2,5,19,19,36,0.0008999194808885522,0.001705110595367783,3
[0.59 8.92 8.92],22148,710,10704,10734,9,1,3,5,22,22,40,0.0009933176810547227,0.0018060321473722235,3
[2.24 0.59 0.59],4022,2565,718,739,3,1,1,1,8,7,8,0.00174042764793635,0.001989060169070114,1
[2.24 0.59 2.24],6104,2686,710,2708,4,1,2,1,11,7,10,0.0011467889908256881,0.00163826998689384,0
[2.24 0.59 4.  ],8186,2668,739,4779,4,1,1,2,10,10,11,0.001221597849987784,0.0013437576349865626,3
[2.24 0.59 6.79],11590,2701,736,8153,6,1,1,4,14,14,17,0.0012079378774805867,0.001466781708369284,3
[2.24 0.59 7.11],11855,2662,711,8482,5,1,1,3,12,12,14,0.0010122311261071275,0.0011809363137916492,3
[2.24 0.59 8.09],13048,2648,693,9707,8,2,1,5,19,19,25,0.0014561618638871858,0.0019160024524831395,3
[2.24 0.59 8.92],13867,2632,655,10580,9,3,1,5,22,19,25,0.0013701593711689622,0.0018028412778538976,2
[2.24 2.24 0.59],6036,2653,2732,651,4,2,1,1,11,9,10,0.0014910536779324055,0.001656726308813784,2
[2.24 2.24 2.24],8055,2701,2662,2692,3,1,1,1,8,8,9,0.0009931719428926133,0.0011173184357541898,3
[2.24 2.24 4.  ],10073,2667,2618,4788,4,1,1,2,10,10,12,0.0009927529038022435,0.0011913034845626926,3
[2.24 2.24 6.79],13597,2659,2776,8162,7,2,1,4,17,15,20,0.0011031845259983821,0.001470912701331176,2
[2.24 2.24 7.11],13859,2704,2632,8523,7,1,1,5,16,16,20,0.0011544844505375568,0.001443105563171946,3
[2.24 2.24 8.09],15132,2652,2676,9804,8,2,1,5,19,17,22,0.0011234469997356594,0.0014538725878932065,2
[2.24 2.24 8.92],16008,2648,2759,10601,8,2,1,5,19,17,23,0.0010619690154922538,0.0014367816091954025,2
[2.24 4.   0.59],8113,2695,4714,704,6,1,3,2,16,13,16,0.0016023665721681252,0.0019721434734376927,1
[2.24 4.   2.24],9929,2646,4663,2620,5,2,1,2,13,13,19,0.0013092960016114412,0.001913586463893645,3
[2.24 4.   4.  ],12500,2803,4826,4871,5,2,1,2,13,11,14,0.00088,0.00112,2
[2.24 4.   6.79],15578,2689,4808,8081,8,3,1,4,20,17,20,0.0010912825779946075,0.0012838618564642444,2
[2.24 4.   7.11],16031,2739,4838,8454,6,1,1,4,14,14,18,0.0008733079658162312,0.0011228245274780113,3
[2.24 4.   8.09],17186,2682,4755,9749,7,1,1,5,16,16,22,0.0009309903409752123,0.001280111718840917,3
[2.24 4.   8.92],18068,2613,4785,10670,9,3,1,5,22,19,29,0.001051582909010405,0.00160504759796325,2
[2.24 6.79 0.59],11599,2674,8230,695,5,2,1,2,13,12,17,0.0010345719458574015,0.0014656435899646524,0
[2.24 6.79 2.24],13670,2781,8319,2570,4,1,2,1,11,11,14,0.0008046817849305048,0.0010241404535479151,1
[2.24 6.79 4.  ],15515,2627,8095,4793,8,2,3,3,21,15,32,0.0009668063164679344,0.00206252014179826,0
[2.24 6.79 6.79],18792,2639,8177,7976,8,2,2,4,20,17,36,0.0009046402724563645,0.0019157088122605363,2
[2.24 6.79 7.11],19245,2700,8013,8532,7,1,2,4,17,17,27,0.0008833463237204466,0.001402961808261886,3
[2.24 6.79 8.09],20479,2654,8221,9604,10,2,3,5,25,25,45,0.0012207627325553005,0.002197372918599541,3
[2.24 6.79 8.92],21551,2689,8162,10700,8,1,2,5,19,19,33,0.0008816296227553246,0.0015312514500487216,3
[2.24 7.11 0.59],12051,2726,8622,703,4,1,2,1,11,11,18,0.0009127873205543107,0.0014936519790888724,3
[2.24 7.11 2.24],13676,2678,8405,2593,9,2,4,3,24,21,31,0.0015355367066393682,0.0022667446621819245,1
[2.24 7.11 4.  ],16208,2624,8854,4730,6,2,2,2,16,13,27,0.0008020730503455084,0.0016658440276406713,2
[2.24 7.11 6.79],19404,2698,8556,8150,7,1,2,4,17,17,29,0.0008761080189651617,0.0014945372088229231,3
[2.24 7.11 7.11],19845,2790,8502,8553,8,1,3,4,20,20,38,0.0010078105316200557,0.0019148400100781051,3
[2.24 7.11 8.09],20788,2692,8470,9626,8,1,2,5,19,19,33,0.0009139888397152203,0.0015874543005580145,3
[2.24 7.11 8.92],21843,2673,8635,10535,9,1,2,6,21,21,33,0.00096140640021975,0.0015107814860596072,3
[2.24 8.09 0.59],13215,2752,9750,713,4,1,2,1,11,11,20,0.000832387438516837,0.001513431706394249,3
[2.24 8.09 2.24],15142,2714,9787,2641,4,1,2,1,11,11,23,0.0007264562145027077,0.001518953903051116,3
[2.24 8.09 4.  ],17189,2672,9662,4855,6,1,2,3,15,13,23,0.0007562976322066438,0.0013380650415963696,1
[2.24 8.09 6.79],20708,2662,9787,8259,7,2,1,4,17,16,26,0.0007726482518833301,0.0012555534093104115,2
[2.24 8.09 7.11],20842,2680,9654,8508,8,2,2,4,20,18,31,0.0008636407254582094,0.0014873812494002494,2
[2.24 8.09 8.09],21984,2686,9559,9739,8,1,2,5,19,19,32,0.0008642649199417759,0.001455604075691412,3
[2.24 8.09 8.92],23112,2649,9841,10622,8,1,2,5,19,19,31,0.0008220837660089996,0.001341294565593631,3
[2.24 8.92 0.59],14168,2727,10701,740,5,1,3,1,14,14,28,0.0009881422924901183,0.001976284584980237,3
[2.24 8.92 2.24],16004,2742,10627,2635,5,1,3,1,14,14,28,0.0008747813046738317,0.0017495626093476633,3
[2.24 8.92 4.  ],18633,2716,10873,5044,6,1,2,3,15,15,27,0.0008050233456770246,0.0014490420222186442,3
[2.24 8.92 6.79],21790,2667,10868,8255,9,2,3,4,23,23,45,0.0010555300596603947,0.002065167508031207,3
[2.24 8.92 7.11],21893,2678,10704,8511,8,1,3,4,20,20,37,0.0009135340063033846,0.0016900379116612616,3
[2.24 8.92 8.09],23151,2690,10839,9622,9,1,3,5,22,22,41,0.0009502829251436225,0.0017709818150403872,3
[2.24 8.92 8.92],24033,2685,10719,10629,10,1,3,6,24,24,43,0.00099862688802896,0.0017892065077185536,3
[4.   0.59 0.59],6145,4701,706,738,3,2,0,1,8,8,10,0.0013018714401952804,0.0016273393002441008,3
[4.   0.59 2.24],8304,4786,729,2789,4,2,1,1,11,11,15,0.0013246628131021196,0.00180635838150289,3
[4.   0.59 4.  ],10310,4847,669,4794,5,2,1,2,13,11,16,0.001066925315227934,0.0015518913676042677,2
[4.   0.59 6.79],13532,4716,690,8126,7,2,1,4,17,16,20,0.0011823825007389892,0.0014779781259237365,2
[4.   0.59 7.11],13976,4870,686,8420,7,2,1,4,17,17,22,0.0012163709215798509,0.0015741270749856898,3
[4.   0.59 8.09],15008,4697,658,9653,8,2,1,5,19,19,25,0.0012659914712153518,0.001665778251599147,3
[4.   0.59 8.92],15908,4685,688,10535,8,2,1,5,19,19,25,0.0011943676137792306,0.0015715363339200402,3
[4.   2.24 0.59],8346,4896,2718,732,4,2,1,1,11,10,13,0.0011981787682722265,0.001557632398753894,1
[4.   2.24 2.24],10375,4950,2734,2691,4,2,1,1,11,10,13,0.0009638554216867467,0.0012530120481927714,1
[4.   2.24 4.  ],12242,4891,2612,4739,6,3,1,2,16,13,18,0.0010619179872569842,0.0014703479823558242,2
[4.   2.24 6.79],15462,4754,2598,8110,7,2,1,4,17,17,23,0.0010994696675721122,0.0014875177855387402,3
[4.   2.24 7.11],16280,4902,2798,8580,7,2,1,4,17,17,22,0.001044226044226044,0.0013513513513513516,3
[4.   2.24 8.09],17325,4780,2724,9821,8,2,1,5,19,19,26,0.0010966810966810967,0.0015007215007215007,3
[4.   2.24 8.92],17987,4734,2679,10574,8,2,1,5,19,19,25,0.0010563184522154891,0.0013898927002835382,3
[4.   4.   0.59],10215,4782,4782,651,5,2,1,2,13,12,16,0.0011747430249632893,0.0015663240332843855,1
[4.   4.   2.24],12336,4826,4781,2729,5,3,1,1,14,14,22,0.0011348897535667965,0.0017833981841763942,3
[4 4 4],14232,4663,4779,4790,6,3,1,2,16,13,23,0.000913434513771782,0.0016160764474423836,2
[4.   4.   6.79],17744,4857,4821,8066,10,4,2,4,26,22,36,0.0012398557258791706,0.0020288548241659157,2
[4.   4.   7.11],18234,4665,4932,8637,9,3,1,5,22,22,30,0.0012065372381265768,0.0016452780519907865,3
[4.   4.   8.09],19329,4797,4816,9716,9,3,1,5,22,19,29,0.0009829789435563145,0.001500336282270164,2
[4.   4.   8.92],20244,4797,4689,10758,8,2,1,5,19,19,33,0.0009385496937364159,0.0016301126259632484,3
[4.   6.79 0.59],13545,4698,8153,694,4,2,1,1,11,11,14,0.0008121077888519749,0.0010335917312661498,1
[4.   6.79 2.24],15701,4792,8162,2747,5,2,2,1,14,14,26,0.0008916629514043691,0.0016559454811795426,3
[4.   6.79 4.  ],17901,4933,8250,4718,7,2,2,3,18,18,30,0.001005530417295123,0.0016758840288252053,3
[4.   6.79 6.79],21294,4718,8284,8292,7,2,2,3,18,18,34,0.0008453085376162299,0.001596693904386212,3
[4.   6.79 7.11],21678,4824,8265,8589,9,3,2,4,23,23,40,0.0010609834855613987,0.0018451886705415628,3
[4.   6.79 8.09],22631,4789,8171,9671,9,2,2,5,22,22,39,0.0009721178913879193,0.0017232998983694931,3
[4.   6.79 8.92],23695,4857,8100,10738,10,3,2,5,25,22,42,0.0009284659210803967,0.0017725258493353027,2
[4.   7.11 0.59],13913,4723,8491,699,6,2,2,2,16,15,25,0.0010781283691511537,0.0017968806152519226,1
[4.   7.11 2.24],16110,4937,8548,2625,6,2,2,2,16,16,27,0.0009931719428926133,0.0016759776536312847,3
[4.   7.11 4.  ],18104,4734,8512,4858,6,2,2,2,16,16,26,0.0008837825894829873,0.001436146707909854,3
[4.   7.11 6.79],21413,4806,8542,8065,9,3,3,3,24,21,36,0.0009807126511932004,0.0016812216877597722,1
[4.   7.11 7.11],21854,4803,8578,8473,9,3,2,4,23,20,40,0.0009151642719868217,0.0018303285439736435,2
[4.   7.11 8.09],23080,4739,8544,9797,9,2,2,5,22,20,37,0.0008665511265164643,0.0016031195840554592,2
[4.   7.11 8.92],24024,4797,8578,10649,10,2,2,6,24,24,44,0.000999000999000999,0.0018315018315018317,3
[4.   8.09 0.59],15264,4917,9606,741,5,2,2,1,14,14,28,0.0009171907756813418,0.0018343815513626835,1
[4.   8.09 2.24],17181,4767,9689,2725,6,2,2,2,16,16,32,0.000931261276992026,0.001862522553984052,3
[4.   8.09 4.  ],19126,4766,9670,4690,6,2,2,2,16,16,31,0.0008365575656174841,0.0016208302833838756,3
[4.   8.09 6.79],22240,4766,9364,8110,8,2,2,4,20,20,35,0.0008992805755395684,0.0015737410071942446,3
[4.   8.09 7.11],23257,4804,9800,8653,12,6,2,4,32,26,42,0.0011179429849077695,0.0018059078986971664,2
[4.   8.09 8.09],23991,4769,9732,9490,9,2,3,4,23,23,44,0.0009586928431495144,0.0018340210912425488,3
[4.   8.09 8.92],25176,4905,9694,10577,9,2,2,5,22,22,41,0.0008738481093104544,0.0016285351128058467,3
[4.   8.92 0.59],16158,4786,10627,745,6,2,2,2,16,15,19,0.000928332714444857,0.0011758881049634855,1
[4.   8.92 2.24],18372,4876,10844,2652,7,3,3,1,20,20,39,0.001088613106901807,0.002122795558458524,3
[4.   8.92 4.  ],20170,4775,10616,4779,5,2,2,1,14,13,25,0.0006445215666831929,0.0012394645513138325,1
[4.   8.92 6.79],23696,4845,10768,8083,8,2,2,4,20,18,34,0.0007596218771100607,0.0014348413234301148,2
[4.   8.92 7.11],24066,4845,10648,8573,10,3,3,4,26,26,48,0.0010803623369068397,0.0019945150835203192,3
[4.   8.92 8.09],25214,4853,10631,9730,11,4,2,5,28,24,41,0.0009518521456333783,0.0016260807487903544,2
[4.   8.92 8.92],26342,4833,10761,10748,11,3,2,6,27,25,45,0.0009490547414774883,0.0017082985346594793,2
[6.79 0.59 0.59],9543,8112,752,679,5,4,0,1,14,14,20,0.0014670439065283456,0.002095777009326208,3
[6.79 0.59 2.24],11689,8177,724,2788,6,4,1,1,17,15,22,0.0012832577637094706,0.00188211138677389,2
[6.79 0.59 4.  ],13509,8053,722,4734,7,4,1,2,19,16,25,0.0011843955881264345,0.001850618106447553,2
[6.79 0.59 6.79],17064,8119,726,8219,10,4,1,5,25,25,35,0.0014650726676043132,0.0020511017346460385,3
[6.79 0.59 7.11],17413,8117,701,8595,9,4,1,4,23,23,33,0.0013208522368345491,0.0018951358180669612,3
[6.79 0.59 8.09],18499,8113,690,9696,9,4,1,4,23,20,33,0.0010811395210551919,0.0017838802097410672,2
[6.79 0.59 8.92],19612,8179,664,10769,10,4,1,5,25,25,36,0.0012747297572914542,0.0018356108504996942,3
[6.79 2.24 0.59],11562,8179,2674,709,6,4,1,1,17,17,24,0.001470333852274693,0.0020757654385054488,3
[6.79 2.24 2.24],13471,8161,2684,2626,6,4,1,1,17,17,24,0.0012619701581174376,0.0017816049291069704,3
[6.79 2.24 4.  ],15626,8094,2722,4810,8,4,1,3,21,21,30,0.0013439139895046715,0.0019198771278638167,3
[6.79 2.24 6.79],19086,8216,2585,8285,9,4,1,4,23,23,32,0.0012050717803625693,0.0016766216074609662,3
