rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[6.79 2.24 7.11],19250,8066,2673,8511,10,4,1,5,25,25,35,0.001298701298701299,0.0018181818181818184,3
[6.79 2.24 8.09],20601,8262,2661,9678,10,4,1,5,25,23,35,0.0011164506577350617,0.0016989466530750936,2
[6.79 2.24 8.92],21704,8275,2765,10664,10,4,1,5,25,25,35,0.0011518614080353851,0.0016126059712495392,3
[6.79 4.   0.59],13457,8044,4749,664,7,5,1,1,20,16,23,0.001188972282083674,0.0017091476554952814,2
[6.79 4.   2.24],15554,8091,4737,2726,7,4,1,2,19,19,27,0.0012215507265012214,0.001735887874501736,3
[6.79 4.   4.  ],17613,8110,4757,4746,7,4,1,2,19,18,25,0.001021972406745018,0.0014194061204791913,1
[6.79 4.   6.79],21161,8060,4792,8309,11,5,1,5,28,25,37,0.0011814186475119324,0.0017484995983176599,2
[6.79 4.   7.11],21452,8139,4887,8426,10,4,1,5,25,25,40,0.0011653925041954132,0.001864628006712661,3
[6.79 4.   8.09],22445,8129,4772,9544,10,4,1,5,25,23,31,0.0010247271107150812,0.0013811539318333704,2
[6.79 4.   8.92],23663,8101,4734,10828,11,4,1,6,27,27,39,0.0011410218484553946,0.001648142669991125,3
[6.79 6.79 0.59],17252,8269,8288,695,7,4,2,1,20,20,38,0.001159285879897983,0.002202643171806168,3
[6.79 6.79 2.24],18905,8145,8013,2747,9,6,2,1,26,21,34,0.0011108172441153133,0.001798466014281936,2
[6.79 6.79 4.  ],20991,8173,8069,4749,10,5,2,3,27,23,40,0.0010957076842456294,0.0019055785812967464,2
[6.79 6.79 6.79],24417,8243,8154,8020,11,5,2,4,29,25,44,0.0010238768071425645,0.0018020231805709137,2
[6.79 6.79 7.11],24821,8088,8304,8429,11,6,2,3,30,23,42,0.0009266347044841062,0.0016921155473188026,0
[6.79 6.79 8.09],25764,8175,7965,9624,11,5,1,5,28,25,39,0.0009703462195311287,0.0015137401024685607,2
[6.79 6.79 8.92],26996,8051,8328,10617,12,4,2,6,30,30,48,0.0011112757445547491,0.0017780411912875981,3
[6.79 7.11 0.59],17464,8228,8519,717,7,4,2,1,20,20,33,0.0011452130096197893,0.0018896014658726524,3
[6.79 7.11 2.24],19389,8138,8498,2753,6,4,1,1,17,17,29,0.0008767858063850638,0.0014956934344215792,3
[6.79 7.11 4.  ],21677,8352,8490,4835,9,4,2,3,24,22,38,0.0010149005858744288,0.0017530101028740142,1
[6.79 7.11 6.79],25003,8121,8617,8265,13,6,3,4,35,29,50,0.0011598608167019955,0.0019997600287965447,2
[6.79 7.11 7.11],25516,8192,8697,8627,10,4,2,4,26,26,49,0.0010189684903589905,0.001920363693368867,3
[6.79 7.11 8.09],26570,8265,8671,9634,11,4,2,5,28,28,48,0.0010538200978547237,0.0018065487391795254,3
[6.79 7.11 8.92],27448,8235,8529,10684,11,4,2,5,28,28,45,0.0010201107548819589,0.001639463713203148,3
[6.79 8.09 0.59],18564,8127,9733,704,7,4,2,1,20,20,33,0.0010773540185304892,0.001777634130575307,3
[6.79 8.09 2.24],20573,8258,9645,2670,11,7,3,1,32,25,43,0.001215184951149565,0.002090118115977252,2
[6.79 8.09 4.  ],22480,8095,9595,4790,8,4,2,2,22,22,43,0.0009786476868327402,0.0019128113879003559,3
[6.79 8.09 6.79],25892,8083,9699,8110,10,4,2,4,26,26,48,0.0010041711725629536,0.001853854472423915,3
[6.79 8.09 7.11],26336,8203,9681,8452,8,4,1,3,21,20,32,0.0007594167679222357,0.001215066828675577,1
[6.79 8.09 8.09],27546,8195,9652,9699,10,4,2,4,26,26,45,0.0009438756988310463,0.0016336310172075802,3
[6.79 8.09 8.92],28752,8271,9728,10753,13,5,3,5,34,34,60,0.0011825264329437953,0.0020868113522537557,3
[6.79 8.92 0.59],19699,8221,10753,725,7,4,2,1,20,17,39,0.0008629879689324332,0.0019797959287273467,2
[6.79 8.92 2.24],21428,8189,10593,2646,8,4,2,2,22,21,29,0.0009800261340302408,0.0013533694231846185,1
[6.79 8.92 4.  ],23645,8271,10608,4766,9,5,2,2,25,21,44,0.000888137026855572,0.0018608585324592934,2
[6.79 8.92 6.79],27282,8279,10928,8075,10,4,3,3,27,27,49,0.0009896635144051023,0.0017960560076240746,3
[6.79 8.92 7.11],27430,8175,10696,8559,10,4,2,4,26,26,49,0.0009478672985781992,0.0017863652934742985,3
[6.79 8.92 8.09],28419,8083,10659,9677,12,4,3,5,31,31,57,0.001090819522150674,0.0020057004116964,3
[6.79 8.92 8.92],30039,8374,10860,10805,13,4,3,6,33,33,61,0.0010985718565864376,0.0020306934318719,3
[7.11 0.59 0.59],9927,8503,726,698,7,5,1,1,20,16,26,0.0016117658910043315,0.002619119572882039,0
[7.11 0.59 2.24],11949,8534,727,2688,6,4,1,1,17,15,22,0.0012553351744915894,0.0018411582559209976,2
[7.11 0.59 4.  ],14011,8486,725,4800,7,4,1,2,19,17,27,0.0012133323817000927,0.001927057312111912,2
[7.11 0.59 6.79],17266,8458,708,8100,9,5,1,3,24,20,34,0.0011583458820803893,0.001969187999536661,2
[7.11 0.59 7.11],17843,8603,697,8543,11,5,2,4,29,24,36,0.0013450652917110352,0.002017597937566553,2
[7.11 0.59 8.09],18906,8553,697,9656,9,4,1,4,23,20,33,0.0010578652279699566,0.0017454776261504284,2
[7.11 0.59 8.92],19874,8338,689,10847,10,4,1,5,25,25,35,0.0012579249270403545,0.0017610948978564961,3
[7.11 2.24 0.59],11916,8493,2747,676,6,4,1,1,17,15,21,0.0012588116817724068,0.0017623363544813696,2
[7.11 2.24 2.24],13699,8487,2577,2635,7,4,1,2,19,17,25,0.0012409664939046644,0.0018249507263303887,2
[7.11 2.24 4.  ],16187,8665,2707,4815,6,3,1,2,16,15,27,0.0009266695496385988,0.001668005189349478,0
[7.11 2.24 6.79],19177,8537,2638,8002,9,4,1,4,23,20,31,0.0010429159931167544,0.0016165197893309696,2
[7.11 2.24 7.11],19991,8734,2694,8563,9,4,1,4,23,23,32,0.0011505177329798409,0.0016007203241458655,3
[7.11 2.24 8.09],20851,8633,2676,9542,10,4,1,5,25,22,34,0.0010551052707304207,0.0016306172365833772,2
[7.11 2.24 8.92],22004,8459,2652,10893,10,4,1,5,25,25,36,0.0011361570623522994,0.0016360661697873114,3
[7.11 4.   0.59],14044,8630,4665,749,7,5,1,1,20,17,27,0.00121048134434634,0.0019225291939618343,2
[7.11 4.   2.24],16291,8597,4975,2719,7,4,1,2,19,19,31,0.0011662881345528204,0.0019028911669019704,3
[7.11 4.   4.  ],18305,8668,4778,4859,9,5,1,3,24,21,30,0.0011472275334608029,0.001638896476372576,2
[7.11 4.   6.79],21438,8547,4779,8112,9,4,1,4,23,23,37,0.001072861274372609,0.0017259072674689804,3
[7.11 4.   7.11],22007,8609,4851,8547,11,5,1,5,28,28,42,0.0012723224428590905,0.0019084836642886355,3
[7.11 4.   8.09],23412,8646,4945,9821,11,4,1,6,27,24,39,0.0010251153254741158,0.0016658124038954384,2
[7.11 4.   8.92],24237,8590,4743,10904,11,4,1,6,27,27,40,0.0011139992573338284,0.0016503692701241902,3
[7.11 6.79 0.59],17339,8485,8163,691,10,4,3,3,27,20,35,0.001153469058192514,0.0020185708518368995,0
[7.11 6.79 2.24],19361,8560,8190,2611,8,4,2,2,22,22,42,0.0011363049429265015,0.002169309436496049,3
[7.11 6.79 4.  ],21624,8402,8345,4877,8,4,2,2,22,19,35,0.0008786533481317055,0.0016185719570847206,2
[7.11 6.79 6.79],25045,8640,8210,8195,11,6,1,4,29,25,45,0.0009982032341784787,0.0017967658215212613,2
[7.11 6.79 7.11],25149,8581,8194,8374,9,3,2,4,23,21,37,0.0008350232613622807,0.001471231460495447,2
[7.11 6.79 8.09],26387,8545,8176,9666,10,4,2,4,26,26,46,0.000985333687042862,0.0017432826770758328,3
[7.11 6.79 8.92],27302,8525,8113,10664,11,4,2,5,28,28,45,0.0010255658926086,0.0016482308988352502,3
[7.11 7.11 0.59],17652,8466,8501,685,8,5,2,1,23,19,34,0.0010763652843870384,0.0019261273510083844,2
[7.11 7.11 2.24],19718,8558,8500,2660,6,4,1,1,17,17,31,0.0008621564053149407,0.0015721675626331273,3
[7.11 7.11 4.  ],21636,8638,8299,4699,9,6,1,2,25,21,34,0.0009706045479755963,0.0015714549824366794,2
[7.11 7.11 6.79],25327,8619,8503,8205,13,5,4,4,35,32,56,0.0012634737631776365,0.002211079085560864,1
[7.11 7.11 7.11],25598,8496,8604,8498,11,5,2,4,29,25,45,0.0009766387999062427,0.0017579498398312366,2
[7.11 7.11 8.09],26767,8451,8489,9827,11,4,2,5,28,28,50,0.0010460641835095452,0.0018679717562670453,3
