rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[7.11 8.92 2.24],21967,8592,10680,2695,7,4,2,1,20,20,39,3
[7.11 8.92 4.  ],23968,8350,10741,4877,10,6,2,2,28,23,41,2
[7.11 8.92 6.79],27554,8527,10847,8180,10,4,2,4,26,26,43,3
[7.11 8.92 7.11],27530,8415,10703,8412,13,5,3,5,34,34,60,3
[7.11 8.92 8.09],29028,8660,10592,9776,11,4,2,5,28,28,50,3
[7.11 8.92 8.92],29670,8458,10577,10635,12,4,2,6,30,30,52,3
[8.09 0.59 0.59],11106,9662,724,720,7,5,1,1,20,17,23,2
[8.09 0.59 2.24],12880,9548,703,2629,6,4,1,1,17,17,24,3
[8.09 0.59 4.  ],15532,9865,683,4984,8,5,1,2,22,22,31,3
[8.09 0.59 6.79],18539,9692,705,8142,10,5,1,4,26,26,37,3
[8.09 0.59 7.11],18919,9709,716,8494,10,5,1,4,26,26,38,3
[8.09 0.59 8.09],20151,9646,709,9796,10,4,1,5,25,23,37,2
[8.09 0.59 8.92],21181,9769,700,10712,11,5,1,5,28,25,39,2
[8.09 2.24 0.59],13098,9691,2687,720,7,5,1,1,20,20,28,3
[8.09 2.24 2.24],15295,9891,2704,2700,7,5,1,1,20,20,29,3
[8.09 2.24 4.  ],17174,9688,2722,4764,8,5,1,2,22,22,31,3
[8.09 2.24 6.79],20676,9780,2723,8173,9,4,1,4,23,23,33,3
[8.09 2.24 7.11],21107,9874,2686,8547,9,4,1,4,23,21,34,2
[8.09 2.24 8.09],22136,9809,2684,9643,11,5,1,5,28,28,40,3
[8.09 2.24 8.92],23052,9705,2696,10651,11,5,1,5,28,28,40,3
[8.09 4.   0.59],15204,9726,4760,718,7,5,1,1,20,20,30,3
[8.09 4.   2.24],17169,9827,4680,2662,7,5,1,1,20,20,33,3
[8.09 4.   4.  ],19380,9862,4754,4764,8,5,1,2,22,22,33,3
[8.09 4.   6.79],22564,9657,4756,8151,10,5,1,4,26,26,39,3
[8.09 4.   7.11],23140,9796,4835,8509,9,4,1,4,23,23,34,3
[8.09 4.   8.09],24315,9824,4808,9683,11,5,2,4,29,29,47,3
[8.09 4.   8.92],25301,9806,4872,10623,12,5,1,6,30,30,46,3
[8.09 6.79 0.59],18672,9710,8234,728,8,4,2,2,22,20,33,1
[8.09 6.79 2.24],20673,9801,8148,2724,10,6,2,2,28,24,39,2
[8.09 6.79 4.  ],22821,9806,8236,4779,9,5,2,2,25,25,41,3
