rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[4.   4.   0.59],10155,4830,4608,717,5,3,1,1,14,11,18,0
[4.   4.   2.24],12401,4825,4915,2661,5,3,1,1,14,12,18,2
[4 4 4],14335,4651,4782,4902,7,3,1,3,18,16,21,2
[0.59 0.59 0.59],2176,723,729,724,2,1,0,1,5,5,5,0
[0.59 0.59 2.24],4211,758,710,2743,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6350,742,722,4886,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],3988,687,2611,690,3,1,1,1,8,7,10,2
[0.59 2.24 2.24],6214,748,2738,2728,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8105,709,2657,4739,5,1,1,3,12,11,13,2
[0.59 4.   0.59],6224,755,4706,763,5,1,2,2,13,9,9,0
[0.59 4.   2.24],7967,743,4628,2596,3,1,1,1,8,7,8,2
[0.59 4.   4.  ],10322,708,4732,4882,4,1,1,2,10,9,10,2
[2.24 0.59 0.59],4170,2749,750,671,3,1,1,1,8,6,6,0
[2.24 0.59 2.24],6145,2717,740,2688,3,1,1,1,8,7,9,2
[2.24 0.59 4.  ],7942,2525,703,4714,4,1,1,2,10,10,11,3
[2.24 2.24 0.59],6033,2693,2636,704,3,1,1,1,8,7,7,1
[2.24 2.24 2.24],8001,2679,2685,2637,3,1,1,1,8,7,8,2
[2.24 2.24 4.  ],10255,2643,2768,4844,6,2,1,3,15,15,19,3
[2.24 4.   0.59],8170,2640,4799,731,2,1,0,1,5,5,5,3
[2.24 4.   2.24],10153,2699,4784,2670,4,1,2,1,11,10,10,1
[2.24 4.   4.  ],12303,2743,4784,4776,4,1,1,2,10,10,15,3
[4.   0.59 0.59],6186,4780,715,691,4,2,1,1,11,10,13,1
[4.   0.59 2.24],8182,4804,685,2693,5,3,1,1,14,12,16,2
[4.   0.59 4.  ],10310,4899,701,4710,6,2,1,3,15,13,19,2
[4.   2.24 0.59],8212,4849,2662,701,5,3,1,1,14,12,16,2
[4.   2.24 2.24],10121,4812,2672,2637,5,3,1,1,14,14,18,3
[4.   2.24 4.  ],12261,4901,2684,4676,6,3,1,2,16,14,19,2
[4.   4.   0.59],10492,4873,4894,725,4,2,1,1,11,11,17,1
[4.   4.   2.24],12221,4795,4791,2635,4,2,1,1,11,11,19,3
[4 4 4],14425,4879,4805,4741,6,3,1,2,16,14,24,2
[0.59 0.59 0.59],2011,701,692,618,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4078,720,676,2682,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6270,704,694,4872,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],4158,704,2744,710,3,1,1,1,8,6,6,0
[0.59 2.24 2.24],6009,650,2657,2702,4,1,1,2,10,9,10,2
[0.59 2.24 4.  ],8281,645,2698,4938,5,1,1,3,12,11,13,2
[0.59 4.   0.59],6222,696,4798,728,3,1,1,1,8,8,12,1
[0.59 4.   2.24],8117,714,4786,2617,4,1,1,2,10,10,16,3
[0.59 4.   4.  ],10298,721,4835,4742,4,1,1,2,10,9,10,2
[2.24 0.59 0.59],4128,2745,693,690,3,1,1,1,8,6,6,0
[2.24 0.59 2.24],6095,2709,667,2719,4,1,1,2,10,10,11,3
[2.24 0.59 4.  ],8241,2683,699,4859,4,1,1,2,10,9,11,2
[2.24 2.24 0.59],6103,2660,2772,671,3,1,1,1,8,7,7,2
[2.24 2.24 2.24],8086,2755,2672,2659,3,1,1,1,8,7,8,2
[2.24 2.24 4.  ],10080,2676,2696,4708,7,3,1,3,18,15,19,2
[2.24 4.   0.59],8048,2620,4726,702,4,2,1,1,11,9,12,2
[2.24 4.   2.24],10120,2692,4764,2664,3,1,1,1,8,8,12,3
[2.24 4.   4.  ],12253,2660,4706,4887,6,2,2,2,16,16,27,3
[4.   0.59 0.59],6245,4803,706,736,3,1,1,1,8,6,7,0
[4.   0.59 2.24],8185,4725,717,2743,4,2,1,1,11,11,13,3
[4.   0.59 4.  ],10369,4794,684,4891,5,2,1,2,13,13,18,3
[4.   2.24 0.59],8340,4825,2770,745,5,3,1,1,14,11,15,0
[4.   2.24 2.24],10231,4801,2740,2690,5,3,1,1,14,12,17,2
[4.   2.24 4.  ],12257,4711,2746,4800,5,2,1,2,13,13,17,3
[4.   4.   0.59],10302,4792,4812,698,4,2,1,1,11,11,14,3
[4.   4.   2.24],12504,4775,4911,2818,6,2,2,2,16,14,24,1
[4 4 4],14526,4747,4860,4919,7,3,1,3,18,16,22,2
[0.59 0.59 0.59],2075,721,700,654,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4292,744,787,2761,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6129,684,695,4750,4,1,1,2,10,9,10,2
[0.59 2.24 0.59],4076,696,2700,680,3,1,1,1,8,6,6,0
[0.59 2.24 2.24],5973,728,2590,2655,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8107,710,2604,4793,4,1,1,2,10,9,11,2
[0.59 4.   0.59],6183,726,4761,696,3,1,0,2,7,7,7,1
[0.59 4.   2.24],8128,720,4779,2629,4,2,1,1,11,8,12,0
[0.59 4.   4.  ],10292,719,4811,4762,6,1,2,3,15,13,22,2
[2.24 0.59 0.59],4116,2678,692,746,3,1,1,1,8,7,7,1
[2.24 0.59 2.24],6176,2731,694,2751,3,1,1,1,8,8,8,3
[2.24 0.59 4.  ],8168,2649,692,4827,6,2,1,3,15,15,19,3
[2.24 2.24 0.59],6109,2736,2665,708,3,1,1,1,8,7,7,2
[2.24 2.24 2.24],8153,2710,2799,2644,3,1,1,1,8,8,8,3
[2.24 2.24 4.  ],10143,2674,2739,4730,4,1,1,2,10,9,11,2
[2.24 4.   0.59],8211,2755,4792,664,4,1,1,2,10,9,10,1
[2.24 4.   2.24],10197,2701,4777,2719,4,1,1,2,10,9,15,1
[2.24 4.   4.  ],12271,2663,4852,4756,4,1,1,2,10,10,13,3
[4.   0.59 0.59],6203,4819,708,676,4,2,1,1,11,10,12,2
[4.   0.59 2.24],8178,4795,710,2673,3,2,0,1,8,8,10,2
[4.   0.59 4.  ],10332,4749,747,4836,6,2,1,3,15,13,20,2
[4.   2.24 0.59],8140,4799,2641,700,4,2,1,1,11,11,15,3
[4.   2.24 2.24],10259,4914,2661,2684,4,2,1,1,11,11,13,3
[4.   2.24 4.  ],12252,4853,2649,4750,5,2,1,2,13,11,14,2
[4.   4.   0.59],10393,4874,4826,693,4,2,1,1,11,11,13,3
[4.   4.   2.24],12379,4796,4860,2723,6,3,2,1,17,12,17,0
[4 4 4],14604,4822,4929,4853,6,3,1,2,16,14,22,0
[0.59 0.59 0.59],2100,723,668,709,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],4098,690,733,2675,3,1,1,1,8,7,7,2
[0.59 0.59 4.  ],6238,718,780,4740,3,1,0,2,7,7,8,2
[0.59 2.24 0.59],3995,690,2635,670,3,1,1,1,8,7,7,2
[0.59 2.24 2.24],5988,740,2579,2669,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8071,673,2727,4671,4,1,1,2,10,9,10,2
[0.59 4.   0.59],6279,713,4853,713,3,1,1,1,8,7,8,2
[0.59 4.   2.24],8263,695,4810,2758,3,1,1,1,8,7,7,2
[0.59 4.   4.  ],10489,736,4961,4792,4,1,1,2,10,9,13,2
[2.24 0.59 0.59],4160,2734,696,730,3,1,1,1,8,7,7,1
[2.24 0.59 2.24],5861,2629,663,2569,4,2,1,1,11,9,11,2
[2.24 0.59 4.  ],8023,2640,712,4671,5,2,1,2,13,11,14,2
[2.24 2.24 0.59],6030,2651,2653,726,4,2,1,1,11,9,12,2
[2.24 2.24 2.24],7836,2616,2618,2602,5,2,1,2,13,10,15,0
[2.24 2.24 4.  ],10127,2696,2624,4807,5,1,1,3,12,12,14,3
[2.24 4.   0.59],8298,2726,4828,744,3,1,1,1,8,8,8,3
[2.24 4.   2.24],10091,2661,4727,2703,5,2,1,2,13,11,14,2
[2.24 4.   4.  ],12183,2707,4702,4774,5,1,2,2,13,13,21,3
[4.   0.59 0.59],6245,4818,697,730,5,3,1,1,14,10,12,0
[4.   0.59 2.24],8262,4860,706,2696,5,3,1,1,14,11,18,2
[4.   0.59 4.  ],10370,4885,709,4776,5,2,1,2,13,13,16,3
[4.   2.24 0.59],8351,4874,2722,755,4,2,1,1,11,10,12,1
[4.   2.24 2.24],10212,4803,2673,2736,6,3,1,2,16,12,18,0
