rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
[7.11 2.13 2.13],13645,8452,2622,2571,12,9,1,2,34,30,34,0.002198607548552584,0.002491755221692928,2
[8.09 2.42 2.42],15739,9874,2894,2971,14,10,1,3,39,34,39,0.0021602388970074337,0.002477921087743821,2
[8.92 2.67 2.67],17166,10673,3251,3242,16,11,2,3,45,38,45,0.002213678201095188,0.002621461027612723,2
[0.59  0.177 0.177],1142,717,234,191,3,1,1,1,8,6,6,0.005253940455341506,0.005253940455341506,0
[2.24  0.672 0.672],4367,2755,781,831,4,2,1,1,11,9,10,0.002060911380810625,0.002289901534234028,0
[4.  1.2 1.2],7616,4681,1449,1486,6,4,1,1,17,17,18,0.002232142857142857,0.0023634453781512603,1
[6.79 2.03 2.03],13128,8208,2476,2444,12,9,1,2,34,29,34,0.00220901889092017,0.002589884216940889,2
[7.11 2.13 2.13],13618,8547,2516,2555,13,9,1,3,36,31,35,0.0022763988838302245,0.002570127772066383,2
[8.09 2.42 2.42],15527,9747,2951,2829,14,9,2,3,39,33,39,0.0021253300702002965,0.002511753719327623,2
[8.92 2.67 2.67],17519,10902,3312,3305,15,10,2,3,42,36,42,0.002054911810034819,0.002397397111707289,2
[0.59  0.177 0.177],1117,684,228,205,3,1,1,1,8,6,6,0.005371530886302597,0.005371530886302597,0
[2.24  0.672 0.672],4239,2661,802,776,3,2,0,1,8,7,7,0.0016513328615239446,0.0016513328615239446,0
[4.  1.2 1.2],7569,4753,1387,1429,6,4,1,1,17,15,17,0.0019817677368212444,0.002246003435064077,2
[6.79 2.03 2.03],12998,8180,2390,2428,12,8,2,2,34,29,34,0.002231112478842899,0.00261578704416064,2
[7.11 2.13 2.13],13617,8495,2578,2544,11,8,1,2,31,26,31,0.0019093779834030988,0.002276566057134464,2
[8.09 2.42 2.42],15387,9646,2904,2837,15,10,2,3,42,36,43,0.0023396373562097877,0.0027945668421394685,2
[8.92 2.67 2.67],17264,10756,3165,3343,15,10,2,3,42,36,43,0.0020852641334569047,0.0024907321594068578,2
[0.59  0.177 0.177],1131,681,213,237,3,1,1,1,8,6,6,0.005305039787798408,0.005305039787798408,0
[2.24  0.672 0.672],4345,2704,824,817,5,3,1,1,14,11,11,0.002531645569620253,0.002531645569620253,0
[4.  1.2 1.2],7562,4767,1389,1406,8,5,1,2,22,19,22,0.002512562814070352,0.002909283258397249,2
[6.79 2.03 2.03],13098,8194,2439,2465,12,8,1,3,33,28,35,0.002137730951290273,0.0026721636891128423,0
[7.11 2.13 2.13],13653,8610,2545,2498,12,9,1,2,34,30,34,0.002197319270490002,0.0024902951732220023,2
[8.09 2.42 2.42],15408,9618,2936,2854,13,9,1,3,36,31,36,0.0020119418483904466,0.002336448598130841,2
[8.92 2.67 2.67],17206,10727,3267,3212,17,11,2,4,47,39,49,0.0022666511681971404,0.0028478437754271765,0
[0.59  0.177 0.177],1078,699,194,185,3,1,1,1,8,6,6,0.005565862708719851,0.005565862708719851,0
[2.24  0.672 0.672],4182,2603,769,810,5,3,1,1,14,12,14,0.0028694404591104736,0.003347680535628886,0
[4.  1.2 1.2],7687,4798,1440,1449,6,4,1,1,17,14,17,0.0018212566671002995,0.0022115259529075057,2
[6.79 2.03 2.03],13126,8296,2398,2432,11,7,2,2,31,31,33,0.0023617248209660217,0.002514094164254152,3
[7.11 2.13 2.13],13722,8561,2551,2610,12,8,1,3,33,32,34,0.0023320215711995326,0.0024777729193995045,1
[8.09 2.42 2.42],15524,9777,2933,2814,13,9,1,3,36,35,37,0.0022545735635145577,0.0023834063385725327,1
[8.92 2.67 2.67],17118,10682,3169,3267,15,10,2,3,42,36,43,0.002103049421661409,0.002511975698095572,2
[0.59  0.177 0.177],1112,702,210,200,1,1,0,0,3,3,3,0.002697841726618705,0.002697841726618705,0
[2.24  0.672 0.672],4300,2734,789,777,4,2,1,1,11,9,9,0.0020930232558139536,0.0020930232558139536,0
[4.  1.2 1.2],7581,4809,1400,1372,7,5,1,1,20,17,20,0.0022424482258277274,0.002638174383326738,2
[6.79 2.03 2.03],13091,8225,2539,2327,12,8,1,3,33,29,32,0.0022152623940111527,0.0024444274692536857,2
[7.11 2.13 2.13],13810,8602,2655,2553,13,8,2,3,36,30,36,0.002172338884866039,0.0026068066618392467,2
[8.09 2.42 2.42],15636,9883,2868,2885,12,9,1,2,34,34,35,0.002174469173701714,0.0022384241493988233,3
[8.92 2.67 2.67],17058,10689,3146,3223,15,10,1,4,41,36,41,0.0021104467112205423,0.0024035643100011727,2
[0.59  0.177 0.177],1142,720,213,209,3,1,1,1,8,6,6,0.005253940455341506,0.005253940455341506,0
[2.24  0.672 0.672],4266,2661,777,828,5,3,1,1,14,13,14,0.0030473511486169714,0.003281762775433661,2
[4.  1.2 1.2],7615,4775,1438,1402,7,4,1,2,19,18,19,0.0023637557452396585,0.002495075508864084,1
[6.79 2.03 2.03],13050,8123,2448,2479,10,7,1,2,28,24,28,0.0018390804597701149,0.0021455938697318012,2
[7.11 2.13 2.13],13641,8500,2582,2559,12,8,1,3,33,33,34,0.0024191774796569173,0.0024924858881313692,3
[8.09 2.42 2.42],15425,9598,2905,2922,15,10,2,3,42,36,41,0.00233387358184765,0.002658022690437601,2
[8.92 2.67 2.67],16898,10509,3236,3153,14,10,1,3,39,34,39,0.002012072434607646,0.0023079654396970053,2
[0.59  0.177 0.177],1136,715,208,213,3,1,1,1,8,6,6,0.00528169014084507,0.00528169014084507,0
[2.24  0.672 0.672],4257,2697,796,764,4,2,1,1,11,10,11,0.002349072116513977,0.002583979328165375,1
[4.  1.2 1.2],7576,4692,1468,1416,7,4,1,2,19,18,20,0.002375923970432946,0.002639915522703273,1
[6.79 2.03 2.03],12939,8164,2463,2312,13,9,1,3,36,31,34,0.0023958574851224977,0.0026277146611020947,2
[7.11 2.13 2.13],13521,8427,2527,2567,12,8,2,2,34,28,31,0.0020708527475778423,0.002292729827675468,0
