rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,bin_conf
[0.59 0.59 0.59],2146,688,720,738,3,1,1,1,8,6,6,0
[0.59 0.59 2.24],3982,666,698,2618,4,1,2,1,11,7,10,0
[0.59 0.59 4.  ],6196,694,690,4812,5,1,1,3,12,11,13,2
[0.59 0.59 6.79],9532,673,676,8183,4,1,0,3,9,9,11,2
[0.59 0.59 7.11],9837,718,699,8420,6,1,1,4,14,13,16,2
[0.59 0.59 8.09],11011,704,716,9591,6,1,1,4,14,13,17,2
[0.59 0.59 8.92],12147,699,710,10738,7,1,1,5,16,15,19,2
[0.59 2.24 0.59],4091,685,2742,664,2,1,0,1,5,5,5,0
[0.59 2.24 2.24],6146,724,2745,2677,3,1,1,1,8,7,7,2
[0.59 2.24 4.  ],8114,694,2608,4812,5,1,1,3,12,11,13,2
[0.59 2.24 6.79],11604,711,2659,8234,6,1,1,4,14,13,16,2
[0.59 2.24 7.11],11936,691,2676,8569,6,1,1,4,14,13,16,2
[0.59 2.24 8.09],13141,717,2605,9819,8,1,1,6,18,17,22,2
[0.59 2.24 8.92],14171,710,2660,10801,7,1,1,5,16,15,19,2
[0.59 4.   0.59],6257,734,4829,694,3,1,1,1,8,7,7,2
[0.59 4.   2.24],8221,690,4854,2677,3,2,0,1,8,7,8,0
[0.59 4.   4.  ],10191,690,4747,4754,4,1,1,2,10,9,13,2
[0.59 4.   6.79],13727,714,4856,8157,6,1,1,4,14,13,18,2
[0.59 4.   7.11],13981,702,4675,8604,7,1,1,5,16,15,24,2
[0.59 4.   8.09],15015,704,4742,9569,6,1,1,4,14,13,17,2
[0.59 4.   8.92],16329,715,4791,10823,8,1,1,6,18,17,28,2
[0.59 6.79 0.59],9434,703,8059,672,4,1,2,1,11,9,16,1
[0.59 6.79 2.24],11650,713,8214,2723,4,1,2,1,11,10,15,1
[0.59 6.79 4.  ],13743,763,8133,4847,5,1,1,3,12,11,17,1
[0.59 6.79 6.79],16912,723,8004,8185,9,1,4,4,23,16,37,0
[0.59 6.79 7.11],17243,731,8016,8496,8,2,2,4,20,17,28,2
[0.59 6.79 8.09],18425,716,8084,9625,7,1,1,5,16,16,24,3
[0.59 6.79 8.92],19392,709,8145,10538,8,1,2,5,19,19,31,3
[0.59 7.11 0.59],9936,733,8508,695,5,1,2,2,13,11,17,1
[0.59 7.11 2.24],11906,679,8559,2668,4,1,2,1,11,11,20,3
[0.59 7.11 4.  ],13889,758,8442,4689,4,1,2,1,11,9,12,1
[0.59 7.11 6.79],17359,733,8676,7950,8,1,3,4,20,17,27,1
[0.59 7.11 7.11],18102,714,8643,8745,8,2,2,4,20,17,28,2
[0.59 7.11 8.09],19004,736,8571,9697,7,1,2,4,17,15,30,2
[0.59 7.11 8.92],20051,766,8560,10725,9,1,2,6,21,21,35,3
[0.59 8.09 0.59],11141,783,9705,653,5,1,2,2,13,12,25,1
[0.59 8.09 2.24],13146,730,9676,2740,5,1,2,2,13,13,25,3
[0.59 8.09 4.  ],15177,696,9714,4767,6,1,3,2,16,14,30,2
[0.59 8.09 6.79],18421,710,9618,8093,6,1,2,3,15,13,24,2
[0.59 8.09 7.11],18922,716,9768,8438,7,1,2,4,17,17,30,3
[0.59 8.09 8.09],20128,687,9742,9699,8,1,3,4,20,20,39,3
[0.59 8.09 8.92],21211,750,9713,10748,10,2,3,5,25,21,40,2
[0.59 8.92 0.59],12046,703,10626,717,5,1,3,1,14,13,27,1
[0.59 8.92 2.24],14246,731,10804,2711,7,1,4,2,19,16,25,1
[0.59 8.92 4.  ],16338,673,10707,4958,7,2,3,2,19,15,31,2
[0.59 8.92 6.79],19610,727,10696,8187,7,1,2,4,17,17,34,3
[0.59 8.92 7.11],20035,739,10793,8503,9,1,4,4,23,20,38,1
[0.59 8.92 8.09],21113,674,10699,9740,8,1,2,5,19,19,36,3
[0.59 8.92 8.92],22148,710,10704,10734,9,1,3,5,22,22,40,3
[2.24 0.59 0.59],4022,2565,718,739,3,1,1,1,8,7,8,1
[2.24 0.59 2.24],6104,2686,710,2708,4,1,2,1,11,7,10,0
[2.24 0.59 4.  ],8186,2668,739,4779,4,1,1,2,10,10,11,3
[2.24 0.59 6.79],11590,2701,736,8153,6,1,1,4,14,14,17,3
[2.24 0.59 7.11],11855,2662,711,8482,5,1,1,3,12,12,14,3
[2.24 0.59 8.09],13048,2648,693,9707,8,2,1,5,19,19,25,3
[2.24 0.59 8.92],13867,2632,655,10580,9,3,1,5,22,19,25,2
[2.24 2.24 0.59],6036,2653,2732,651,4,2,1,1,11,9,10,2
[2.24 2.24 2.24],8055,2701,2662,2692,3,1,1,1,8,8,9,3
[2.24 2.24 4.  ],10073,2667,2618,4788,4,1,1,2,10,10,12,3
[2.24 2.24 6.79],13597,2659,2776,8162,7,2,1,4,17,15,20,2
[2.24 2.24 7.11],13859,2704,2632,8523,7,1,1,5,16,16,20,3
[2.24 2.24 8.09],15132,2652,2676,9804,8,2,1,5,19,17,22,2
[2.24 2.24 8.92],16008,2648,2759,10601,8,2,1,5,19,17,23,2
[2.24 4.   0.59],8113,2695,4714,704,6,1,3,2,16,13,16,1
[2.24 4.   2.24],9929,2646,4663,2620,5,2,1,2,13,13,19,3
[2.24 4.   4.  ],12500,2803,4826,4871,5,2,1,2,13,11,14,2
[2.24 4.   6.79],15578,2689,4808,8081,8,3,1,4,20,17,20,2
[2.24 4.   7.11],16031,2739,4838,8454,6,1,1,4,14,14,18,3
[2.24 4.   8.09],17186,2682,4755,9749,7,1,1,5,16,16,22,3
[2.24 4.   8.92],18068,2613,4785,10670,9,3,1,5,22,19,29,2
[2.24 6.79 0.59],11599,2674,8230,695,5,2,1,2,13,12,17,0
[2.24 6.79 2.24],13670,2781,8319,2570,4,1,2,1,11,11,14,1
[2.24 6.79 4.  ],15515,2627,8095,4793,8,2,3,3,21,15,32,0
