context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,0.5,10,25,13,19,0.52,0.6842105263157895,0
0,0.5,10,25,13,19,0.52,0.6842105263157895,1
0,0.5,10,25,13,19,0.52,0.6842105263157895,2
0,0.5,10,25,13,19,0.52,0.6842105263157895,3
0,0.5,10,25,13,19,0.52,0.6842105263157895,4
0,0.5,10,25,13,19,0.52,0.6842105263157895,5
0,0.5,10,25,13,19,0.52,0.6842105263157895,6
0,0.5,10,25,13,19,0.52,0.6842105263157895,7
0,0.5,10,25,13,19,0.52,0.6842105263157895,8
0,0.5,10,25,15,27,0.6,0.5555555555555556,9
0,0.5,10,25,13,19,0.52,0.6842105263157895,10
0,0.5,10,25,13,19,0.52,0.6842105263157895,11
0,0.5,10,25,13,19,0.52,0.6842105263157895,12
0,0.5,10,25,13,19,0.52,0.6842105263157895,13
0,0.5,10,25,13,19,0.52,0.6842105263157895,14
0,0.5,10,25,13,19,0.52,0.6842105263157895,15
0,0.5,10,25,13,19,0.52,0.6842105263157895,16
0,0.5,10,25,13,19,0.52,0.6842105263157895,17
0,0.5,10,25,13,19,0.52,0.6842105263157895,18
0,0.5,10,25,13,19,0.52,0.6842105263157895,19
0,0.5,10,25,13,19,0.52,0.6842105263157895,20
0,0.5,10,25,13,19,0.52,0.6842105263157895,21
0,0.5,10,25,13,19,0.52,0.6842105263157895,22
0,0.5,10,25,13,19,0.52,0.6842105263157895,23
0,0.5,10,25,15,27,0.6,0.5555555555555556,24
0,0.5,10,25,15,27,0.6,0.5555555555555556,25
0,0.5,10,25,15,27,0.6,0.5555555555555556,26
0,0.5,10,25,15,27,0.6,0.5555555555555556,27
1,1,20,48,24,33,0.5,0.7272727272727273,0
1,1,20,48,24,33,0.5,0.7272727272727273,1
1,1,20,48,24,31,0.5,0.7741935483870968,2
1,1,20,48,24,31,0.5,0.7741935483870968,3
1,1,20,48,24,31,0.5,0.7741935483870968,4
1,1,20,48,24,31,0.5,0.7741935483870968,5
1,1,20,48,24,33,0.5,0.7272727272727273,6
1,1,20,48,24,33,0.5,0.7272727272727273,7
1,1,20,48,24,33,0.5,0.7272727272727273,8
1,1,20,48,27,44,0.5625,0.6136363636363636,9
1,1,20,48,24,33,0.5,0.7272727272727273,10
1,1,20,48,24,33,0.5,0.7272727272727273,11
1,1,20,48,24,31,0.5,0.7741935483870968,12
1,1,20,48,24,31,0.5,0.7741935483870968,13
1,1,20,48,24,31,0.5,0.7741935483870968,14
1,1,20,48,24,31,0.5,0.7741935483870968,15
1,1,20,48,24,31,0.5,0.7741935483870968,16
1,1,20,48,24,31,0.5,0.7741935483870968,17
1,1,20,48,24,31,0.5,0.7741935483870968,18
1,1,20,48,24,31,0.5,0.7741935483870968,19
1,1,20,48,24,31,0.5,0.7741935483870968,20
1,1,20,48,24,31,0.5,0.7741935483870968,21
