context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,0
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,1
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,2
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,3
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,4
0,0.5,16,43,21,57,0.4883720930232558,0.3684210526315789,5
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,6
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,7
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,8
0,0.5,16,43,23,38,0.5348837209302325,0.6052631578947368,9
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,10
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,11
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,12
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,13
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,14
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,15
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,16
0,0.5,16,43,21,57,0.4883720930232558,0.3684210526315789,17
0,0.5,16,43,21,57,0.4883720930232558,0.3684210526315789,18
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,19
0,0.5,16,43,21,57,0.4883720930232558,0.3684210526315789,20
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,21
0,0.5,16,43,21,57,0.4883720930232558,0.3684210526315789,22
0,0.5,16,43,20,56,0.46511627906976744,0.35714285714285715,23
0,0.5,16,43,23,37,0.5348837209302325,0.6216216216216216,24
0,0.5,16,43,24,38,0.5581395348837209,0.631578947368421,25
0,0.5,16,43,23,38,0.5348837209302325,0.6052631578947368,26
0,0.5,16,43,23,38,0.5348837209302325,0.6052631578947368,27
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,0
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,1
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,2
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,3
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,4
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,5
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,6
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,7
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,8
1,1,22,58,32,71,0.5517241379310345,0.4507042253521127,9
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,10
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,11
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,12
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,13
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,14
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,15
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,16
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,17
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,18
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,19
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,20
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,21
1,1,22,58,27,65,0.46551724137931033,0.4153846153846154,22
1,1,22,58,27,66,0.46551724137931033,0.4090909090909091,23
1,1,22,58,32,69,0.5517241379310345,0.463768115942029,24
1,1,22,58,32,69,0.5517241379310345,0.463768115942029,25
1,1,22,58,32,71,0.5517241379310345,0.4507042253521127,26
1,1,22,58,32,71,0.5517241379310345,0.4507042253521127,27
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,0
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,1
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,2
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,3
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,4
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,5
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,6
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,7
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,8
2,1.5,28,72,39,97,0.5416666666666666,0.4020618556701031,9
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,10
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,11
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,12
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,13
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,14
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,15
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,16
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,17
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,18
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,19
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,20
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,21
2,1.5,28,72,34,101,0.4722222222222222,0.33663366336633666,22
2,1.5,28,72,34,103,0.4722222222222222,0.3300970873786408,23
2,1.5,28,72,39,93,0.5416666666666666,0.41935483870967744,24
2,1.5,28,72,39,93,0.5416666666666666,0.41935483870967744,25
2,1.5,28,72,39,97,0.5416666666666666,0.4020618556701031,26
2,1.5,28,72,39,97,0.5416666666666666,0.4020618556701031,27
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,0
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,1
3,2,48,127,56,164,0.4409448818897638,0.34146341463414637,2
3,2,48,127,56,164,0.4409448818897638,0.34146341463414637,3
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,4
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,5
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,6
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,7
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,8
3,2,48,127,67,188,0.5275590551181102,0.35638297872340424,9
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,10
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,11
3,2,48,127,56,164,0.4409448818897638,0.34146341463414637,12
3,2,48,127,56,164,0.4409448818897638,0.34146341463414637,13
3,2,48,127,56,164,0.4409448818897638,0.34146341463414637,14
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,15
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,16
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,17
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,18
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,19
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,20
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,21
3,2,48,127,57,165,0.44881889763779526,0.34545454545454546,22
3,2,48,127,56,170,0.4409448818897638,0.32941176470588235,23
3,2,48,127,68,182,0.5354330708661418,0.37362637362637363,24
3,2,48,127,68,182,0.5354330708661418,0.37362637362637363,25
3,2,48,127,67,188,0.5275590551181102,0.35638297872340424,26
3,2,48,127,67,188,0.5275590551181102,0.35638297872340424,27
4,2.5,46,125,55,192,0.44,0.2864583333333333,0
4,2.5,46,125,55,192,0.44,0.2864583333333333,1
4,2.5,46,125,55,189,0.44,0.291005291005291,2
4,2.5,46,125,55,189,0.44,0.291005291005291,3
4,2.5,46,125,55,189,0.44,0.291005291005291,4
4,2.5,46,125,55,189,0.44,0.291005291005291,5
4,2.5,46,125,55,192,0.44,0.2864583333333333,6
4,2.5,46,125,55,192,0.44,0.2864583333333333,7
4,2.5,46,125,55,192,0.44,0.2864583333333333,8
4,2.5,46,125,66,192,0.528,0.34375,9
4,2.5,46,125,55,192,0.44,0.2864583333333333,10
4,2.5,46,125,55,192,0.44,0.2864583333333333,11
4,2.5,46,125,55,189,0.44,0.291005291005291,12
4,2.5,46,125,55,189,0.44,0.291005291005291,13
4,2.5,46,125,55,189,0.44,0.291005291005291,14
4,2.5,46,125,55,189,0.44,0.291005291005291,15
4,2.5,46,125,55,189,0.44,0.291005291005291,16
4,2.5,46,125,55,189,0.44,0.291005291005291,17
4,2.5,46,125,55,189,0.44,0.291005291005291,18
4,2.5,46,125,55,189,0.44,0.291005291005291,19
4,2.5,46,125,55,189,0.44,0.291005291005291,20
4,2.5,46,125,55,189,0.44,0.291005291005291,21
4,2.5,46,125,55,189,0.44,0.291005291005291,22
4,2.5,46,125,55,192,0.44,0.2864583333333333,23
4,2.5,46,125,66,185,0.528,0.3567567567567568,24
4,2.5,46,125,66,185,0.528,0.3567567567567568,25
4,2.5,46,125,66,192,0.528,0.34375,26
4,2.5,46,125,66,192,0.528,0.34375,27
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,0
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,1
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,2
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,3
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,4
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,5
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,6
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,7
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,8
5,3,58,156,86,297,0.5512820512820513,0.2895622895622896,9
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,10
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,11
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,12
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,13
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,14
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,15
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,16
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,17
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,18
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,19
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,20
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,21
5,3,58,156,74,312,0.47435897435897434,0.23717948717948717,22
5,3,58,156,74,317,0.47435897435897434,0.2334384858044164,23
5,3,58,156,86,290,0.5512820512820513,0.296551724137931,24
5,3,58,156,86,290,0.5512820512820513,0.296551724137931,25
5,3,58,156,86,297,0.5512820512820513,0.2895622895622896,26
5,3,58,156,86,297,0.5512820512820513,0.2895622895622896,27
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,0
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,1
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,2
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,3
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,4
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,5
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,6
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,7
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,8
6,0.5,18,49,27,71,0.5510204081632653,0.38028169014084506,9
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,10
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,11
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,12
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,13
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,14
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,15
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,16
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,17
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,18
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,19
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,20
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,21
6,0.5,18,49,23,63,0.46938775510204084,0.36507936507936506,22
