context,rate,n_services,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,0.5,10,26,13,14,0.5,0.9285714285714286,0
0,0.5,10,26,13,14,0.5,0.9285714285714286,1
0,0.5,10,26,13,14,0.5,0.9285714285714286,2
0,0.5,10,26,13,14,0.5,0.9285714285714286,3
0,0.5,10,26,13,14,0.5,0.9285714285714286,4
0,0.5,10,26,13,14,0.5,0.9285714285714286,5
0,0.5,10,26,13,14,0.5,0.9285714285714286,6
0,0.5,10,26,13,14,0.5,0.9285714285714286,7
0,0.5,10,26,13,14,0.5,0.9285714285714286,8
0,0.5,10,26,14,15,0.5384615384615384,0.9333333333333333,9
0,0.5,10,26,13,14,0.5,0.9285714285714286,10
0,0.5,10,26,13,14,0.5,0.9285714285714286,11
0,0.5,10,26,13,14,0.5,0.9285714285714286,12
0,0.5,10,26,13,14,0.5,0.9285714285714286,13
0,0.5,10,26,13,14,0.5,0.9285714285714286,14
0,0.5,10,26,13,14,0.5,0.9285714285714286,15
0,0.5,10,26,13,14,0.5,0.9285714285714286,16
0,0.5,10,26,13,14,0.5,0.9285714285714286,17
0,0.5,10,26,13,14,0.5,0.9285714285714286,18
0,0.5,10,26,13,14,0.5,0.9285714285714286,19
0,0.5,10,26,13,14,0.5,0.9285714285714286,20
0,0.5,10,26,13,14,0.5,0.9285714285714286,21
0,0.5,10,26,13,14,0.5,0.9285714285714286,22
0,0.5,10,26,13,14,0.5,0.9285714285714286,23
0,0.5,10,26,14,15,0.5384615384615384,0.9333333333333333,24
0,0.5,10,26,14,15,0.5384615384615384,0.9333333333333333,25
0,0.5,10,26,14,15,0.5384615384615384,0.9333333333333333,26
0,0.5,10,26,14,15,0.5384615384615384,0.9333333333333333,27
1,1,27,76,35,144,0.4605263157894737,0.24305555555555555,0
1,1,27,76,35,144,0.4605263157894737,0.24305555555555555,1
1,1,27,76,35,144,0.4605263157894737,0.24305555555555555,2
1,1,27,76,35,144,0.4605263157894737,0.24305555555555555,3
1,1,27,76,35,144,0.4605263157894737,0.24305555555555555,4
