context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2122,692,726,704,3,1,1,1,8,6,6,0.002827521206409048,0.002827521206409048,0
0,[0.59 0.59 0.59],2122,692,726,704,3,1,1,1,8,7,7,0.003298774740810556,0.003298774740810556,1
0,[0.59 0.59 0.59],2122,692,726,704,3,1,1,1,8,7,7,0.003298774740810556,0.003298774740810556,2
0,[0.59 0.59 0.59],2122,692,726,704,3,1,1,1,8,8,8,0.003770028275212064,0.003770028275212064,3
1,[0.59 0.59 2.24],4039,662,720,2657,5,1,2,2,13,9,15,0.0022282743253280515,0.0037137905422134194,0
1,[0.59 0.59 2.24],4039,662,720,2657,5,1,2,2,13,11,17,0.002723446397623174,0.004208962614508541,1
1,[0.59 0.59 2.24],4039,662,720,2657,3,1,1,1,8,7,7,0.0017331022530329288,0.0017331022530329288,2
1,[0.59 0.59 2.24],4039,662,720,2657,3,1,1,1,8,8,8,0.0019806882891804903,0.0019806882891804903,3
2,[0.59 0.59 4.  ],6180,682,686,4812,5,1,2,2,13,9,19,0.0014563106796116505,0.0030744336569579287,0
2,[0.59 0.59 4.  ],6180,682,686,4812,5,1,2,2,13,11,18,0.0017799352750809063,0.002912621359223301,1
2,[0.59 0.59 4.  ],6180,682,686,4812,5,1,1,3,12,11,13,0.0017799352750809063,0.002103559870550162,2
2,[0.59 0.59 4.  ],6180,682,686,4812,5,1,1,3,12,12,14,0.001941747572815534,0.0022653721682847896,3
3,[0.59 2.24 0.59],4120,772,2611,737,3,1,1,1,8,6,6,0.0014563106796116505,0.0014563106796116505,0
3,[0.59 2.24 0.59],4120,772,2611,737,4,1,2,1,11,9,13,0.002184466019417476,0.0031553398058252425,1
3,[0.59 2.24 0.59],4120,772,2611,737,3,1,1,1,8,7,7,0.0016990291262135922,0.0016990291262135922,2
3,[0.59 2.24 0.59],4120,772,2611,737,3,1,1,1,8,8,8,0.001941747572815534,0.001941747572815534,3
4,[0.59 2.24 2.24],6138,752,2734,2652,5,2,1,2,13,10,14,0.0016291951775822744,0.002280873248615184,0
4,[0.59 2.24 2.24],6138,752,2734,2652,4,1,1,2,10,9,12,0.001466275659824047,0.0019550342130987292,1
4,[0.59 2.24 2.24],6138,752,2734,2652,3,1,1,1,8,7,9,0.001140436624307592,0.001466275659824047,2
4,[0.59 2.24 2.24],6138,752,2734,2652,3,1,1,1,8,8,10,0.0013033561420658195,0.0016291951775822744,3
5,[0.59 2.24 4.  ],8118,700,2665,4753,6,1,3,2,16,11,16,0.0013550135501355014,0.001970928800197093,0
5,[0.59 2.24 4.  ],8118,700,2665,4753,5,1,2,2,13,11,19,0.0013550135501355014,0.002340477950234048,1
5,[0.59 2.24 4.  ],8118,700,2665,4753,4,1,1,2,10,9,10,0.0011086474501108647,0.001231830500123183,2
5,[0.59 2.24 4.  ],8118,700,2665,4753,4,1,1,2,10,10,11,0.001231830500123183,0.0013550135501355014,3
6,[0.59 4.   0.59],6083,679,4692,712,7,2,3,2,19,12,24,0.001972710833470327,0.003945421666940654,0
6,[0.59 4.   0.59],6083,679,4692,712,4,1,2,1,11,10,12,0.001643925694558606,0.001972710833470327,1
6,[0.59 4.   0.59],6083,679,4692,712,3,1,1,1,8,7,13,0.0011507479861910242,0.0021371034029261876,2
6,[0.59 4.   0.59],6083,679,4692,712,3,1,1,1,8,8,14,0.0013151405556468849,0.0023014959723820483,3
7,[0.59 4.   2.24],8310,735,4833,2742,7,2,3,2,19,13,26,0.0015643802647412755,0.003128760529482551,0
7,[0.59 4.   2.24],8310,735,4833,2742,4,1,3,0,12,11,15,0.0013237063778580025,0.0018050541516245488,1
7,[0.59 4.   2.24],8310,735,4833,2742,3,1,1,1,8,7,7,0.0008423586040914561,0.0008423586040914561,2
7,[0.59 4.   2.24],8310,735,4833,2742,3,1,1,1,8,8,8,0.0009626955475330926,0.0009626955475330926,3
