context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.177 0.177],1106,686,208,212,3,1,1,1,8,6,6,0.0054249547920434,0.0054249547920434,0
0,[0.59  0.177 0.177],1106,686,208,212,3,1,1,1,8,7,7,0.006329113924050633,0.006329113924050633,1
0,[0.59  0.177 0.177],1106,686,208,212,3,1,1,1,8,7,8,0.006329113924050633,0.007233273056057866,2
0,[0.59  0.177 0.177],1106,686,208,212,3,1,1,1,8,8,9,0.007233273056057866,0.0081374321880651,3
1,[0.59  0.177 0.672],1732,702,221,809,3,1,1,1,8,6,6,0.003464203233256351,0.003464203233256351,0
1,[0.59  0.177 0.672],1732,702,221,809,3,1,1,1,8,7,7,0.0040415704387990765,0.0040415704387990765,1
1,[0.59  0.177 0.672],1732,702,221,809,3,1,1,1,8,7,8,0.0040415704387990765,0.004618937644341801,2
1,[0.59  0.177 0.672],1732,702,221,809,3,1,1,1,8,8,9,0.004618937644341801,0.005196304849884526,3
2,[0.59  0.177 1.2  ],2307,708,179,1420,4,1,1,2,10,8,9,0.0034677069787602947,0.0039011703511053317,0
2,[0.59  0.177 1.2  ],2307,708,179,1420,4,1,1,2,10,9,10,0.0039011703511053317,0.004334633723450368,1
2,[0.59  0.177 1.2  ],2307,708,179,1420,4,1,1,2,10,9,10,0.0039011703511053317,0.004334633723450368,2
2,[0.59  0.177 1.2  ],2307,708,179,1420,4,1,1,2,10,10,11,0.004334633723450368,0.004768097095795405,3
3,[0.59  0.672 0.177],1703,699,785,219,2,1,0,1,5,5,5,0.002935995302407516,0.002935995302407516,0
3,[0.59  0.672 0.177],1703,699,785,219,2,1,0,1,5,5,5,0.002935995302407516,0.002935995302407516,1
3,[0.59  0.672 0.177],1703,699,785,219,2,1,0,1,5,5,5,0.002935995302407516,0.002935995302407516,2
3,[0.59  0.672 0.177],1703,699,785,219,2,1,0,1,5,5,5,0.002935995302407516,0.002935995302407516,3
4,[0.59  0.672 0.672],2331,684,822,825,3,1,1,1,8,6,6,0.002574002574002574,0.002574002574002574,0
4,[0.59  0.672 0.672],2331,684,822,825,3,1,1,1,8,7,7,0.003003003003003003,0.003003003003003003,1
4,[0.59  0.672 0.672],2331,684,822,825,3,1,1,1,8,7,8,0.003003003003003003,0.003432003432003432,2
4,[0.59  0.672 0.672],2331,684,822,825,3,1,1,1,8,8,9,0.003432003432003432,0.003861003861003861,3
5,[0.59  0.672 1.2  ],2991,730,781,1480,4,1,1,2,10,8,9,0.0026746907388833165,0.003009027081243731,0
5,[0.59  0.672 1.2  ],2991,730,781,1480,4,1,1,2,10,9,10,0.003009027081243731,0.003343363423604146,1
5,[0.59  0.672 1.2  ],2991,730,781,1480,4,1,1,2,10,9,10,0.003009027081243731,0.003343363423604146,2
5,[0.59  0.672 1.2  ],2991,730,781,1480,4,1,1,2,10,10,11,0.003343363423604146,0.0036776997659645604,3
6,[0.59  1.2   0.177],2396,716,1484,196,3,1,1,1,8,6,6,0.0025041736227045075,0.0025041736227045075,0
6,[0.59  1.2   0.177],2396,716,1484,196,3,1,1,1,8,7,7,0.002921535893155259,0.002921535893155259,1
6,[0.59  1.2   0.177],2396,716,1484,196,3,1,1,1,8,7,8,0.002921535893155259,0.00333889816360601,2
6,[0.59  1.2   0.177],2396,716,1484,196,3,1,1,1,8,8,9,0.00333889816360601,0.0037562604340567614,3
7,[0.59  1.2   0.672],2919,683,1438,798,3,1,1,1,8,6,7,0.0020554984583761563,0.002398081534772182,0
