context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
844,[0.59  3.2   1.568],6593,742,3932,1919,5,1,2,2,13,11,17,0.001668436220233581,0.002578492340360989,1
844,[0.59  3.2   1.568],6593,742,3932,1919,5,1,2,2,13,11,13,0.001668436220233581,0.00197178826027605,2
844,[0.59  3.2   1.568],6593,742,3932,1919,5,1,2,2,13,13,15,0.00197178826027605,0.0022751403003185198,3
845,[0.59 3.2  3.2 ],8432,710,3941,3781,8,1,3,4,20,17,27,0.0020161290322580645,0.003202087286527514,0
845,[0.59 3.2  3.2 ],8432,710,3941,3781,8,1,3,4,20,18,28,0.0021347248576850096,0.003320683111954459,1
845,[0.59 3.2  3.2 ],8432,710,3941,3781,7,1,2,4,17,15,17,0.0017789373814041745,0.0020161290322580645,2
845,[0.59 3.2  3.2 ],8432,710,3941,3781,7,1,2,4,17,17,19,0.0020161290322580645,0.0022533206831119547,3
846,[2.24  0.413 0.413],3765,2771,484,510,3,2,0,1,8,8,8,0.0021248339973439574,0.0021248339973439574,0
846,[2.24  0.413 0.413],3765,2771,484,510,3,2,0,1,8,8,8,0.0021248339973439574,0.0021248339973439574,1
846,[2.24  0.413 0.413],3765,2771,484,510,5,3,1,1,14,12,14,0.0031872509960159364,0.0037184594953519256,2
846,[2.24  0.413 0.413],3765,2771,484,510,4,2,1,1,11,11,12,0.0029216467463479417,0.0031872509960159364,3
847,[2.24  0.413 1.568],5088,2682,511,1895,6,3,2,1,17,13,15,0.0025550314465408804,0.00294811320754717,0
847,[2.24  0.413 1.568],5088,2682,511,1895,5,2,2,1,14,13,15,0.0025550314465408804,0.00294811320754717,1
847,[2.24  0.413 1.568],5088,2682,511,1895,5,3,1,1,14,12,13,0.0023584905660377358,0.0025550314465408804,2
847,[2.24  0.413 1.568],5088,2682,511,1895,4,2,1,1,11,11,12,0.002161949685534591,0.0023584905660377358,3
848,[2.24  0.413 3.2  ],6973,2667,518,3788,7,2,2,3,18,13,17,0.0018643338591710886,0.0024379750466083463,0
