context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2140,709,711,720,3,1,1,1,8,6,6,0.002803738317757009,0.002803738317757009,0
0,[0.59 0.59 0.59],2140,709,711,720,3,1,1,1,8,7,7,0.0032710280373831778,0.0032710280373831778,1
0,[0.59 0.59 0.59],2140,709,711,720,3,1,1,1,8,7,8,0.0032710280373831778,0.003738317757009346,2
0,[0.59 0.59 0.59],2140,709,711,720,3,1,1,1,8,8,9,0.003738317757009346,0.004205607476635514,3
1,[0.59 0.59 2.24],4019,691,697,2631,4,1,1,2,10,8,10,0.0019905449116695696,0.002488181139586962,0
1,[0.59 0.59 2.24],4019,691,697,2631,4,1,1,2,10,9,11,0.002239363025628266,0.002736999253545658,1
1,[0.59 0.59 2.24],4019,691,697,2631,4,1,1,2,10,9,10,0.002239363025628266,0.002488181139586962,2
1,[0.59 0.59 2.24],4019,691,697,2631,4,1,1,2,10,10,11,0.002488181139586962,0.002736999253545658,3
2,[0.59 0.59 4.  ],6409,728,738,4943,7,1,2,4,17,13,18,0.002028397565922921,0.0028085504758932752,0
2,[0.59 0.59 4.  ],6409,728,738,4943,7,1,2,4,17,15,20,0.0023404587299110627,0.0031206116398814166,1
2,[0.59 0.59 4.  ],6409,728,738,4943,6,1,1,4,14,13,14,0.002028397565922921,0.0021844281479169916,2
2,[0.59 0.59 4.  ],6409,728,738,4943,6,1,1,4,14,14,15,0.0021844281479169916,0.0023404587299110627,3
3,[0.59 0.59 6.79],9566,733,733,8100,12,1,3,8,28,21,33,0.002195274932051014,0.003449717750365879,0
3,[0.59 0.59 6.79],9566,733,733,8100,12,1,3,8,28,24,36,0.0025088856366297305,0.0037633284549445953,1
3,[0.59 0.59 6.79],9566,733,733,8100,9,1,1,7,20,19,20,0.0019862011289985366,0.0020907380305247754,2
3,[0.59 0.59 6.79],9566,733,733,8100,9,1,1,7,20,20,21,0.0020907380305247754,0.002195274932051014,3
4,[0.59 0.59 7.11],9966,710,717,8539,14,1,5,8,34,24,39,0.002408187838651415,0.0039133052378085495,0
4,[0.59 0.59 7.11],9966,710,717,8539,14,1,5,8,34,29,44,0.0029098936383704596,0.004415011037527594,1
4,[0.59 0.59 7.11],9966,710,717,8539,10,1,1,8,22,21,22,0.002107164358819988,0.002207505518763797,2
4,[0.59 0.59 7.11],9966,710,717,8539,10,1,1,8,22,22,23,0.002207505518763797,0.002307846678707606,3
5,[0.59 0.59 8.09],11126,758,695,9673,16,1,5,10,38,28,38,0.002516627718856732,0.003415423332734136,0
5,[0.59 0.59 8.09],11126,758,695,9673,16,1,5,10,38,33,43,0.0029660255257954343,0.0038648211396728385,1
