context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59  0.295 0.295],1410,733,341,336,3,1,1,1,8,6,6,0.00425531914893617,0.00425531914893617,0
0,[0.59  0.295 0.295],1410,733,341,336,3,1,1,1,8,7,7,0.004964539007092199,0.004964539007092199,1
0,[0.59  0.295 0.295],1410,733,341,336,3,1,1,1,8,7,8,0.004964539007092199,0.005673758865248227,2
0,[0.59  0.295 0.295],1410,733,341,336,3,1,1,1,8,8,9,0.005673758865248227,0.006382978723404255,3
1,[0.59  0.295 1.12 ],2366,724,353,1289,4,1,2,1,11,8,10,0.0033812341504649195,0.00422654268808115,0
1,[0.59  0.295 1.12 ],2366,724,353,1289,4,1,2,1,11,10,12,0.00422654268808115,0.00507185122569738,1
1,[0.59  0.295 1.12 ],2366,724,353,1289,3,1,1,1,8,7,8,0.0029585798816568047,0.0033812341504649195,2
1,[0.59  0.295 1.12 ],2366,724,353,1289,3,1,1,1,8,8,9,0.0033812341504649195,0.0038038884192730348,3
2,[0.59  0.295 2.   ],3438,683,374,2381,4,1,1,2,10,8,10,0.002326934264107039,0.0029086678301337987,0
2,[0.59  0.295 2.   ],3438,683,374,2381,4,1,1,2,10,9,11,0.002617801047120419,0.0031995346131471784,1
2,[0.59  0.295 2.   ],3438,683,374,2381,4,1,1,2,10,9,10,0.002617801047120419,0.0029086678301337987,2
2,[0.59  0.295 2.   ],3438,683,374,2381,4,1,1,2,10,10,11,0.0029086678301337987,0.0031995346131471784,3
3,[0.59  1.12  0.295],2465,735,1361,369,4,1,2,1,11,8,10,0.0032454361054766734,0.004056795131845842,0
3,[0.59  1.12  0.295],2465,735,1361,369,4,1,2,1,11,10,12,0.004056795131845842,0.00486815415821501,1
3,[0.59  1.12  0.295],2465,735,1361,369,3,1,1,1,8,7,8,0.002839756592292089,0.0032454361054766734,2
3,[0.59  1.12  0.295],2465,735,1361,369,3,1,1,1,8,8,9,0.0032454361054766734,0.0036511156186612576,3
4,[0.59 1.12 1.12],3485,732,1390,1363,4,1,1,2,10,8,9,0.0022955523672883787,0.002582496413199426,0
4,[0.59 1.12 1.12],3485,732,1390,1363,4,1,1,2,10,9,10,0.002582496413199426,0.0028694404591104736,1
4,[0.59 1.12 1.12],3485,732,1390,1363,4,1,1,2,10,9,10,0.002582496413199426,0.0028694404591104736,2
4,[0.59 1.12 1.12],3485,732,1390,1363,4,1,1,2,10,10,11,0.0028694404591104736,0.0031563845050215206,3
5,[0.59 1.12 2.  ],4431,734,1302,2395,4,1,1,2,10,9,12,0.002031144211238998,0.002708192281651997,0
5,[0.59 1.12 2.  ],4431,734,1302,2395,4,1,1,2,10,10,13,0.0022568269013766643,0.002933874971789664,1
5,[0.59 1.12 2.  ],4431,734,1302,2395,4,1,1,2,10,9,10,0.002031144211238998,0.0022568269013766643,2
5,[0.59 1.12 2.  ],4431,734,1302,2395,4,1,1,2,10,10,11,0.0022568269013766643,0.002482509591514331,3
6,[0.59  2.    0.295],3438,701,2392,345,3,1,1,1,8,6,7,0.0017452006980802793,0.002036067481093659,0
6,[0.59  2.    0.295],3438,701,2392,345,3,1,1,1,8,7,8,0.002036067481093659,0.002326934264107039,1
6,[0.59  2.    0.295],3438,701,2392,345,2,1,0,1,5,5,5,0.0014543339150668994,0.0014543339150668994,2
6,[0.59  2.    0.295],3438,701,2392,345,2,1,0,1,5,5,5,0.0014543339150668994,0.0014543339150668994,3
7,[0.59 2.   1.12],4554,743,2437,1374,4,1,1,2,10,9,11,0.001976284584980237,0.0024154589371980675,0
7,[0.59 2.   1.12],4554,743,2437,1374,4,1,1,2,10,10,12,0.0021958717610891525,0.002635046113306983,1
7,[0.59 2.   1.12],4554,743,2437,1374,5,1,2,2,13,11,13,0.0024154589371980675,0.002854633289415898,2
