context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
413,[2.24  3.395 0.295],7208,2744,4105,359,7,3,3,1,20,17,20,0.0023584905660377358,0.002774694783573807,2
413,[2.24  3.395 0.295],7208,2744,4105,359,7,3,3,1,20,20,23,0.002774694783573807,0.003190899001109878,3
414,[2.24  3.395 1.12 ],8168,2725,4096,1347,7,3,2,2,19,16,20,0.0019588638589618022,0.002448579823702253,0
414,[2.24  3.395 1.12 ],8168,2725,4096,1347,6,3,2,1,17,17,19,0.002081292850146915,0.00232615083251714,1
414,[2.24  3.395 1.12 ],8168,2725,4096,1347,6,3,2,1,17,14,18,0.0017140058765915769,0.0022037218413320275,2
414,[2.24  3.395 1.12 ],8168,2725,4096,1347,6,3,2,1,17,17,19,0.002081292850146915,0.00232615083251714,3
415,[2.24  3.395 2.   ],9248,2736,4180,2332,9,4,3,2,25,21,28,0.0022707612456747406,0.003027681660899654,0
415,[2.24  3.395 2.   ],9248,2736,4180,2332,9,3,4,2,25,23,29,0.002487024221453287,0.0031358131487889272,1
415,[2.24  3.395 2.   ],9248,2736,4180,2332,7,3,2,2,19,17,19,0.001838235294117647,0.0020544982698961936,2
415,[2.24  3.395 2.   ],9248,2736,4180,2332,7,3,2,2,19,19,21,0.0020544982698961936,0.0022707612456747406,3
416,[2.24  3.395 3.395],10894,2799,4014,4081,10,4,2,4,26,22,30,0.002019460253350468,0.002753809436387002,0
416,[2.24  3.395 3.395],10894,2799,4014,4081,8,2,2,4,20,19,26,0.001744079309711768,0.002386634844868735,1
416,[2.24  3.395 3.395],10894,2799,4014,4081,9,3,2,4,23,21,24,0.0019276666054709015,0.0022030475491096016,2
416,[2.24  3.395 3.395],10894,2799,4014,4081,8,2,2,4,20,20,22,0.0018358729575913347,0.002019460253350468,3
417,[2.24  3.395 3.555],11040,2681,4015,4344,10,4,2,4,26,23,32,0.0020833333333333333,0.002898550724637681,0
417,[2.24  3.395 3.555],11040,2681,4015,4344,8,2,2,4,20,19,28,0.0017210144927536232,0.002536231884057971,1
417,[2.24  3.395 3.555],11040,2681,4015,4344,9,3,2,4,23,21,23,0.0019021739130434783,0.0020833333333333333,2
417,[2.24  3.395 3.555],11040,2681,4015,4344,8,2,2,4,20,20,22,0.0018115942028985507,0.0019927536231884057,3
418,[2.24  3.395 4.045],11653,2759,4043,4851,10,2,3,5,25,19,31,0.0016304814210932807,0.0026602591607311423,0
418,[2.24  3.395 4.045],11653,2759,4043,4851,11,3,3,5,28,25,36,0.0021453702909122116,0.0030893332189135844,1
418,[2.24  3.395 4.045],11653,2759,4043,4851,11,4,2,5,28,26,28,0.0022311851025487,0.0024028147258216767,2
418,[2.24  3.395 4.045],11653,2759,4043,4851,10,3,2,5,25,25,27,0.0021453702909122116,0.002316999914185188,3
419,[2.24  3.395 4.46 ],12018,2664,4033,5321,11,3,2,6,27,23,35,0.0019137959727076053,0.0029122982193376602,0
419,[2.24  3.395 4.46 ],12018,2664,4033,5321,11,3,2,6,27,25,36,0.0020802130138126143,0.0029955067398901645,1
419,[2.24  3.395 4.46 ],12018,2664,4033,5321,11,3,2,6,27,24,26,0.00199700449326011,0.002163421534365119,2
419,[2.24  3.395 4.46 ],12018,2664,4033,5321,11,3,2,6,27,27,29,0.0022466300549176237,0.0024130470960226327,3
420,[2.24  3.555 0.295],7436,2720,4334,382,8,4,2,2,22,17,21,0.00228617536309844,0.0028240989779451317,0
420,[2.24  3.555 0.295],7436,2720,4334,382,6,3,2,1,17,16,17,0.002151694459386767,0.00228617536309844,1
420,[2.24  3.555 0.295],7436,2720,4334,382,6,3,2,1,17,15,17,0.002017213555675094,0.00228617536309844,2
420,[2.24  3.555 0.295],7436,2720,4334,382,6,3,2,1,17,17,19,0.00228617536309844,0.002555137170521786,3
421,[2.24  3.555 1.12 ],8305,2751,4233,1321,7,3,2,2,19,15,19,0.001806140878988561,0.002287778446718844,0
421,[2.24  3.555 1.12 ],8305,2751,4233,1321,6,2,2,2,16,14,18,0.0016857314870559904,0.0021673690547862733,1
421,[2.24  3.555 1.12 ],8305,2751,4233,1321,6,3,2,1,17,14,17,0.0016857314870559904,0.0020469596628537026,2
421,[2.24  3.555 1.12 ],8305,2751,4233,1321,5,2,2,1,14,14,16,0.0016857314870559904,0.0019265502709211318,3
422,[2.24  3.555 2.   ],9324,2653,4232,2439,9,4,3,2,25,20,28,0.002145002145002145,0.003003003003003003,0
422,[2.24  3.555 2.   ],9324,2653,4232,2439,7,2,3,2,19,18,26,0.0019305019305019305,0.0027885027885027887,1
422,[2.24  3.555 2.   ],9324,2653,4232,2439,7,3,2,2,19,17,19,0.0018232518232518232,0.002037752037752038,2
422,[2.24  3.555 2.   ],9324,2653,4232,2439,6,2,2,2,16,16,18,0.001716001716001716,0.0019305019305019305,3
