context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2146,683,732,731,3,1,1,1,8,6,6,0.0027958993476234857,0.0027958993476234857,0
0,[0.59 0.59 0.59],2146,683,732,731,3,1,1,1,8,7,7,0.0032618825722274,0.0032618825722274,1
0,[0.59 0.59 0.59],2146,683,732,731,2,1,0,1,5,5,5,0.002329916123019571,0.002329916123019571,2
0,[0.59 0.59 0.59],2146,683,732,731,2,1,0,1,5,5,5,0.002329916123019571,0.002329916123019571,3
1,[0.59 0.59 2.24],4123,690,707,2726,4,1,2,1,11,7,13,0.001697792869269949,0.0031530439000727628,0
1,[0.59 0.59 2.24],4123,690,707,2726,4,1,2,1,11,9,15,0.00218287654620422,0.003638127577007034,1
1,[0.59 0.59 2.24],4123,690,707,2726,3,1,1,1,8,7,7,0.001697792869269949,0.001697792869269949,2
1,[0.59 0.59 2.24],4123,690,707,2726,3,1,1,1,8,8,8,0.0019403347077370846,0.0019403347077370846,3
2,[0.59 0.59 4.  ],6103,716,703,4684,4,1,1,2,10,8,20,0.001310830738980829,0.003277076847452073,0
2,[0.59 0.59 4.  ],6103,716,703,4684,4,1,1,2,10,9,21,0.0014746845813534328,0.0034409306898246766,1
2,[0.59 0.59 4.  ],6103,716,703,4684,4,1,1,2,10,9,10,0.0014746845813534328,0.0016385384237260364,2
2,[0.59 0.59 4.  ],6103,716,703,4684,4,1,1,2,10,10,11,0.0016385384237260364,0.00180239226609864,3
3,[0.59 0.59 6.79],9548,725,709,8114,8,1,3,4,20,14,34,0.001466275659824047,0.0035609551738583997,0
3,[0.59 0.59 6.79],9548,725,709,8114,8,1,3,4,20,17,37,0.0017804775869291998,0.003875157100963553,1
3,[0.59 0.59 6.79],9548,725,709,8114,6,1,1,4,14,13,16,0.0013615416841223293,0.0016757436112274822,2
3,[0.59 0.59 6.79],9548,725,709,8114,6,1,1,4,14,14,17,0.001466275659824047,0.0017804775869291998,3
4,[0.59 0.59 7.11],9800,672,708,8420,9,1,4,4,23,15,36,0.001530612244897959,0.003673469387755102,0
4,[0.59 0.59 7.11],9800,672,708,8420,9,1,4,4,23,19,40,0.0019387755102040817,0.004081632653061225,1
4,[0.59 0.59 7.11],9800,672,708,8420,6,1,1,4,14,13,16,0.001326530612244898,0.0016326530612244899,2
