context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2101,678,721,702,3,1,1,1,8,6,7,0.0028557829604950024,0.0033317467872441696,0
0,[0.59 0.59 0.59],2101,678,721,702,3,1,1,1,8,7,8,0.0033317467872441696,0.0038077106139933364,1
0,[0.59 0.59 0.59],2101,678,721,702,3,1,1,1,8,7,8,0.0033317467872441696,0.0038077106139933364,2
0,[0.59 0.59 0.59],2101,678,721,702,3,1,1,1,8,8,9,0.0038077106139933364,0.004283674440742504,3
1,[0.59 0.59 2.24],4114,682,727,2705,6,1,2,3,15,11,15,0.00267379679144385,0.0036460865337870686,0
1,[0.59 0.59 2.24],4114,682,727,2705,6,1,2,3,15,13,17,0.0031599416626154593,0.004132231404958678,1
1,[0.59 0.59 2.24],4114,682,727,2705,5,1,1,3,12,11,12,0.00267379679144385,0.002916869227029655,2
1,[0.59 0.59 2.24],4114,682,727,2705,5,1,1,3,12,12,13,0.002916869227029655,0.0031599416626154593,3
2,[0.59 0.59 4.  ],6238,682,705,4851,10,1,3,6,24,18,26,0.0028855402372555306,0.004168002564924655,0
2,[0.59 0.59 4.  ],6238,682,705,4851,10,1,3,6,24,21,29,0.0033664636101314524,0.004648925937800577,1
2,[0.59 0.59 4.  ],6238,682,705,4851,8,1,1,6,18,17,18,0.0027252324462968902,0.0028855402372555306,2
2,[0.59 0.59 4.  ],6238,682,705,4851,8,1,1,6,18,18,19,0.0028855402372555306,0.0030458480282141713,3
3,[0.59 0.59 6.79],9633,665,730,8238,13,1,4,8,31,23,34,0.002387625869407246,0.0035295338939063635,0
3,[0.59 0.59 6.79],9633,665,730,8238,13,1,4,8,31,27,38,0.002802865151043289,0.0039447731755424065,1
3,[0.59 0.59 6.79],9633,665,730,8238,10,1,1,8,22,21,22,0.0021800062285892243,0.0022838160489982353,2
3,[0.59 0.59 6.79],9633,665,730,8238,10,1,1,8,22,22,23,0.0022838160489982353,0.002387625869407246,3
4,[0.59 0.59 7.11],9983,702,744,8537,9,1,1,7,20,17,29,0.0017028949213663228,0.0029049383952719624,0
4,[0.59 0.59 7.11],9983,702,744,8537,9,1,1,7,20,18,30,0.0018030652108584593,0.003005108684764099,1
4,[0.59 0.59 7.11],9983,702,744,8537,8,1,0,7,17,17,17,0.0017028949213663228,0.0017028949213663228,2
4,[0.59 0.59 7.11],9983,702,744,8537,8,1,0,7,17,17,17,0.0017028949213663228,0.0017028949213663228,3
5,[0.59 0.59 8.09],11193,685,712,9796,13,1,4,8,31,23,33,0.0020548557133922988,0.0029482712409541678,0
5,[0.59 0.59 8.09],11193,685,712,9796,13,1,4,8,31,27,37,0.0024122219244170464,0.0033056374519789154,1
5,[0.59 0.59 8.09],11193,685,712,9796,10,1,1,8,22,21,22,0.001876172607879925,0.001965514160636112,2
5,[0.59 0.59 8.09],11193,685,712,9796,10,1,1,8,22,22,23,0.001965514160636112,0.0020548557133922988,3
6,[0.59 0.59 8.92],12059,695,728,10636,16,1,5,10,38,27,50,0.002238991624512812,0.004146280786134837,0
6,[0.59 0.59 8.92],12059,695,728,10636,16,1,5,10,38,32,55,0.0026536197031262958,0.0045609088647483205,1
6,[0.59 0.59 8.92],12059,695,728,10636,12,1,1,10,26,25,26,0.0020731403930674187,0.0021560660087901152,2
6,[0.59 0.59 8.92],12059,695,728,10636,12,1,1,10,26,26,27,0.0021560660087901152,0.002238991624512812,3
7,[0.59 2.24 0.59],4122,718,2691,713,4,1,2,1,11,7,9,0.001698204754973314,0.002183406113537118,0
7,[0.59 2.24 0.59],4122,718,2691,713,4,1,2,1,11,9,11,0.002183406113537118,0.002668607472100922,1
7,[0.59 2.24 0.59],4122,718,2691,713,3,1,1,1,8,7,8,0.001698204754973314,0.0019408054342552159,2
7,[0.59 2.24 0.59],4122,718,2691,713,3,1,1,1,8,8,9,0.0019408054342552159,0.002183406113537118,3
8,[0.59 2.24 2.24],6220,724,2765,2731,4,1,1,2,10,9,10,0.0014469453376205787,0.001607717041800643,0
8,[0.59 2.24 2.24],6220,724,2765,2731,4,1,1,2,10,10,11,0.001607717041800643,0.0017684887459807075,1
8,[0.59 2.24 2.24],6220,724,2765,2731,4,1,1,2,10,9,10,0.0014469453376205787,0.001607717041800643,2
8,[0.59 2.24 2.24],6220,724,2765,2731,4,1,1,2,10,10,11,0.001607717041800643,0.0017684887459807075,3
9,[0.59 2.24 4.  ],8209,703,2712,4794,8,1,3,4,20,15,23,0.0018272627603849434,0.0028018028992569132,0
9,[0.59 2.24 4.  ],8209,703,2712,4794,8,1,3,4,20,18,26,0.0021927153124619322,0.003167255451333902,1
