context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
66,[2.24 4.   6.79],15578,2689,4808,8081,13,2,6,5,34,28,54,0.0017974065990499421,0.00346642701245346,1
66,[2.24 4.   6.79],15578,2689,4808,8081,8,3,1,4,20,17,20,0.0010912825779946077,0.0012838618564642444,2
66,[2.24 4.   6.79],15578,2689,4808,8081,7,2,1,4,17,17,22,0.0010912825779946077,0.001412248042110669,3
67,[2.24 4.   7.11],16031,2739,4838,8454,11,3,4,4,29,20,41,0.0012475828083089015,0.0025575447570332483,0
67,[2.24 4.   7.11],16031,2739,4838,8454,10,1,5,4,26,21,38,0.0013099619487243466,0.0023704073357869128,1
67,[2.24 4.   7.11],16031,2739,4838,8454,7,1,2,4,17,15,25,0.0009356871062316762,0.0015594785103861268,2
67,[2.24 4.   7.11],16031,2739,4838,8454,6,1,1,4,14,14,18,0.0008733079658162311,0.0011228245274780113,3
68,[2.24 4.   8.09],17186,2682,4755,9749,13,3,5,5,34,24,59,0.0013964855114628185,0.0034330268823460955,0
68,[2.24 4.   8.09],17186,2682,4755,9749,12,1,6,5,31,25,50,0.0014546724077737693,0.0029093448155475387,1
68,[2.24 4.   8.09],17186,2682,4755,9749,9,3,1,5,22,19,29,0.0011055510299080647,0.0016874199930175724,2
68,[2.24 4.   8.09],17186,2682,4755,9749,7,1,1,5,16,16,22,0.0009309903409752124,0.001280111718840917,3
69,[2.24 4.   8.92],18068,2613,4785,10670,12,2,5,5,31,21,56,0.0011622758468009741,0.003099402258135931,0
69,[2.24 4.   8.92],18068,2613,4785,10670,15,2,8,5,40,33,64,0.0018264334735443879,0.0035421740092982067,1
69,[2.24 4.   8.92],18068,2613,4785,10670,9,3,1,5,22,19,29,0.001051582909010405,0.00160504759796325,2
69,[2.24 4.   8.92],18068,2613,4785,10670,8,2,1,5,19,19,30,0.001051582909010405,0.0016603940668585345,3
70,[2.24 6.79 0.59],11599,2674,8230,695,5,2,1,2,13,12,17,0.0010345719458574015,0.0014656435899646522,0
70,[2.24 6.79 0.59],11599,2674,8230,695,4,2,1,1,11,11,19,0.0009483576170359513,0.0016380722476075525,1
70,[2.24 6.79 0.59],11599,2674,8230,695,6,3,2,1,17,13,25,0.0011207862746788516,0.0021553582205362533,2
70,[2.24 6.79 0.59],11599,2674,8230,695,5,2,2,1,14,14,23,0.0012070006035003018,0.001982929562893353,3
71,[2.24 6.79 2.24],13670,2781,8319,2570,8,4,2,2,22,17,24,0.0012435991221653256,0.0017556693489392831,0
71,[2.24 6.79 2.24],13670,2781,8319,2570,4,1,2,1,11,11,14,0.0008046817849305047,0.0010241404535479151,1
71,[2.24 6.79 2.24],13670,2781,8319,2570,6,3,2,1,17,13,21,0.0009509875640087783,0.0015362106803218727,2
71,[2.24 6.79 2.24],13670,2781,8319,2570,4,1,2,1,11,11,19,0.0008046817849305047,0.001389904901243599,3
72,[2.24 6.79 4.  ],15515,2627,8095,4793,8,2,3,3,21,15,32,0.0009668063164679343,0.0020625201417982597,0
72,[2.24 6.79 4.  ],15515,2627,8095,4793,11,2,5,4,29,25,46,0.0016113438607798904,0.0029648727038349984,1
72,[2.24 6.79 4.  ],15515,2627,8095,4793,7,2,3,2,19,15,34,0.0009668063164679343,0.002191427650660651,2
72,[2.24 6.79 4.  ],15515,2627,8095,4793,6,2,2,2,16,16,33,0.0010312600708991299,0.0021269738962294556,3
73,[2.24 6.79 6.79],18792,2639,8177,7976,15,3,8,4,41,25,57,0.0013303533418475948,0.003033205619412516,0
73,[2.24 6.79 6.79],18792,2639,8177,7976,11,2,5,4,29,25,39,0.0013303533418475948,0.002075351213282248,1
73,[2.24 6.79 6.79],18792,2639,8177,7976,8,2,2,4,20,17,36,0.0009046402724563644,0.0019157088122605363,2
73,[2.24 6.79 6.79],18792,2639,8177,7976,8,2,2,4,20,20,36,0.0010642826734780758,0.0019157088122605363,3
74,[2.24 6.79 7.11],19245,2700,8013,8532,13,3,5,5,34,23,56,0.0011951156144453105,0.00290984671343206,0
74,[2.24 6.79 7.11],19245,2700,8013,8532,13,1,7,5,34,27,54,0.0014029618082618861,0.0028059236165237722,1
74,[2.24 6.79 7.11],19245,2700,8013,8532,9,3,2,4,23,19,32,0.0009872694206287348,0.001662769550532606,2
74,[2.24 6.79 7.11],19245,2700,8013,8532,7,1,2,4,17,17,27,0.0008833463237204468,0.0014029618082618861,3
75,[2.24 6.79 8.09],20479,2654,8221,9604,16,5,6,5,43,30,74,0.0014649152790663607,0.0036134576883636894,0
75,[2.24 6.79 8.09],20479,2654,8221,9604,13,2,5,6,33,28,55,0.0013672542604619366,0.002685678011621661,1
75,[2.24 6.79 8.09],20479,2654,8221,9604,11,3,3,5,28,24,46,0.0011719322232530886,0.002246203427901753,2
75,[2.24 6.79 8.09],20479,2654,8221,9604,10,2,3,5,25,25,45,0.0012207627325553005,0.002197372918599541,3
76,[2.24 6.79 8.92],21551,2689,8162,10700,16,4,6,6,42,31,77,0.0014384483318639505,0.003572920050113684,0
76,[2.24 6.79 8.92],21551,2689,8162,10700,9,1,3,5,22,19,46,0.0008816296227553246,0.0021344717182497333,1
76,[2.24 6.79 8.92],21551,2689,8162,10700,11,4,2,5,28,23,40,0.0010672358591248667,0.0018560623636954203,2
76,[2.24 6.79 8.92],21551,2689,8162,10700,8,1,2,5,19,19,33,0.0008816296227553246,0.0015312514500487216,3
77,[2.24 7.11 0.59],12051,2726,8622,703,7,3,1,3,18,15,19,0.0012447099825740602,0.0015766326445938097,0
77,[2.24 7.11 0.59],12051,2726,8622,703,5,1,3,1,14,12,19,0.0009957679860592482,0.0015766326445938097,1
77,[2.24 7.11 0.59],12051,2726,8622,703,5,2,2,1,14,11,21,0.0009127873205543108,0.0017425939756036844,2
77,[2.24 7.11 0.59],12051,2726,8622,703,4,1,2,1,11,11,18,0.0009127873205543108,0.0014936519790888724,3
78,[2.24 7.11 2.24],13676,2678,8405,2593,8,3,3,2,22,16,39,0.00116993272886809,0.0028517110266159697,0
78,[2.24 7.11 2.24],13676,2678,8405,2593,9,2,4,3,24,21,31,0.0015355367066393682,0.0022667446621819245,1
78,[2.24 7.11 2.24],13676,2678,8405,2593,7,3,3,1,20,16,36,0.00116993272886809,0.0026323486399532025,2
78,[2.24 7.11 2.24],13676,2678,8405,2593,6,2,3,1,17,17,34,0.0012430535244223456,0.0024861070488446913,3
79,[2.24 7.11 4.  ],16208,2624,8854,4730,11,3,5,3,30,19,41,0.0011722606120434353,0.002529615004935834,0
79,[2.24 7.11 4.  ],16208,2624,8854,4730,11,2,5,4,29,24,50,0.0014807502467917078,0.0030848963474827246,1
79,[2.24 7.11 4.  ],16208,2624,8854,4730,6,2,2,2,16,13,27,0.0008020730503455084,0.0016658440276406713,2
79,[2.24 7.11 4.  ],16208,2624,8854,4730,6,2,2,2,16,16,28,0.0009871668311944718,0.0017275419545903258,3
80,[2.24 7.11 6.79],19404,2698,8556,8150,12,2,6,4,32,21,49,0.0010822510822510823,0.0025252525252525255,0
80,[2.24 7.11 6.79],19404,2698,8556,8150,10,1,4,5,25,21,43,0.0010822510822510823,0.0022160379303236446,1
80,[2.24 7.11 6.79],19404,2698,8556,8150,10,4,2,4,26,21,37,0.0010822510822510823,0.001906823335394764,2
80,[2.24 7.11 6.79],19404,2698,8556,8150,7,1,2,4,17,17,29,0.0008761080189651618,0.0014945372088229231,3
81,[2.24 7.11 7.11],19845,2790,8502,8553,12,5,3,4,32,24,50,0.0012093726379440665,0.0025195263290501385,0
81,[2.24 7.11 7.11],19845,2790,8502,8553,13,1,7,5,34,27,53,0.0013605442176870747,0.0026706979087931467,1
81,[2.24 7.11 7.11],19845,2790,8502,8553,10,3,3,4,26,22,46,0.001108591584782061,0.0023179642227261275,2
81,[2.24 7.11 7.11],19845,2790,8502,8553,8,1,3,4,20,20,38,0.0010078105316200555,0.0019148400100781054,3
82,[2.24 7.11 8.09],20788,2692,8470,9626,14,2,6,6,36,27,65,0.0012988262459111026,0.003126803925341543,0
82,[2.24 7.11 8.09],20788,2692,8470,9626,12,1,5,6,30,25,49,0.001202616894362132,0.0023571291129497788,1
82,[2.24 7.11 8.09],20788,2692,8470,9626,9,2,2,5,22,19,37,0.0009139888397152203,0.0017798730036559553,2
82,[2.24 7.11 8.09],20788,2692,8470,9626,8,1,2,5,19,19,33,0.0009139888397152203,0.0015874543005580143,3
83,[2.24 7.11 8.92],21843,2673,8635,10535,15,2,7,6,39,32,73,0.0014650002289062858,0.0033420317721924646,0
83,[2.24 7.11 8.92],21843,2673,8635,10535,14,1,6,7,35,29,61,0.0013276564574463215,0.0027926566863526073,1
83,[2.24 7.11 8.92],21843,2673,8635,10535,11,3,2,6,27,23,37,0.0010529689145263928,0.0016939065146728929,2
83,[2.24 7.11 8.92],21843,2673,8635,10535,9,1,2,6,21,21,33,0.0009614064002197501,0.0015107814860596072,3
84,[2.24 8.09 0.59],13215,2752,9750,713,8,4,3,1,23,16,36,0.0012107453651153991,0.002724177071509648,0
84,[2.24 8.09 0.59],13215,2752,9750,713,7,1,4,2,19,16,32,0.0012107453651153991,0.0024214907302307982,1
84,[2.24 8.09 0.59],13215,2752,9750,713,5,2,2,1,14,12,23,0.0009080590238365494,0.0017404464623533864,2
