context,rate,n_requests,n_requests_CA,n_requests_ST,n_requests_VS,n_instances,n_instances_CA,n_instances_ST,n_instances_VS,n_vnf_req,n_vnf,n_vcpu,alpha,beta,bin_conf
0,[0.59 0.59 0.59],2143,727,725,691,3,1,1,1,8,6,7,0.0027998133457769483,0.0032664489034064394,0
0,[0.59 0.59 0.59],2143,727,725,691,3,1,1,1,8,7,8,0.0032664489034064394,0.003733084461035931,1
0,[0.59 0.59 0.59],2143,727,725,691,2,1,0,1,5,5,5,0.0023331777881474567,0.0023331777881474567,2
0,[0.59 0.59 0.59],2143,727,725,691,2,1,0,1,5,5,5,0.0023331777881474567,0.0023331777881474567,3
1,[0.59 0.59 2.24],4237,756,754,2727,5,1,3,1,14,9,16,0.002124144441822044,0.003776256785461411,0
1,[0.59 0.59 2.24],4237,756,754,2727,4,1,1,2,10,9,15,0.002124144441822044,0.003540240736370073,1
1,[0.59 0.59 2.24],4237,756,754,2727,4,1,1,2,10,9,10,0.002124144441822044,0.002360160490913382,2
1,[0.59 0.59 2.24],4237,756,754,2727,4,1,1,2,10,10,11,0.002360160490913382,0.00259617654000472,3
2,[0.59 0.59 4.  ],6259,761,674,4824,8,2,3,3,21,14,29,0.0022367790381850137,0.0046333280076689565,0
2,[0.59 0.59 4.  ],6259,761,674,4824,7,1,3,3,18,15,28,0.0023965489694839433,0.004473558076370027,1
2,[0.59 0.59 4.  ],6259,761,674,4824,5,1,1,3,12,11,13,0.0017574692442882249,0.002077009106886084,2
2,[0.59 0.59 4.  ],6259,761,674,4824,5,1,1,3,12,12,14,0.0019172391755871545,0.0022367790381850137,3
3,[0.59 0.59 6.79],9567,688,692,8187,8,1,3,4,20,14,41,0.0014633636458659977,0.004285564962893279,0
3,[0.59 0.59 6.79],9567,688,692,8187,8,1,3,4,20,17,44,0.00177694156998014,0.004599142887007421,1
3,[0.59 0.59 6.79],9567,688,692,8187,6,1,1,4,14,13,17,0.0013588376711612836,0.00177694156998014,2
3,[0.59 0.59 6.79],9567,688,692,8187,6,1,1,4,14,14,18,0.0014633636458659977,0.0018814675446848542,3
4,[0.59 0.59 7.11],9938,726,706,8506,9,1,4,4,23,15,35,0.0015093580197222782,0.003521835379351982,0
4,[0.59 0.59 7.11],9938,726,706,8506,9,1,4,4,23,19,39,0.001911853491648219,0.003924330851277923,1
4,[0.59 0.59 7.11],9938,726,706,8506,6,1,1,4,14,13,16,0.0013081102837593076,0.0016099818877037633,2
4,[0.59 0.59 7.11],9938,726,706,8506,6,1,1,4,14,14,17,0.001408734151740793,0.0017106057556852486,3
5,[0.59 0.59 8.09],11189,679,736,9774,11,1,5,5,28,18,52,0.001608722852801859,0.004647421574760926,0
5,[0.59 0.59 8.09],11189,679,736,9774,11,1,5,5,28,23,55,0.0020555903119134863,0.004915542050227903,1
5,[0.59 0.59 8.09],11189,679,736,9774,7,1,1,5,16,15,19,0.0013406023773348825,0.0016980963446241845,2
5,[0.59 0.59 8.09],11189,679,736,9774,7,1,1,5,16,16,20,0.001429975869157208,0.00178746983644651,3
6,[0.59 0.59 8.92],12236,738,731,10767,11,2,4,5,28,19,52,0.0015527950310559005,0.004249754821837201,0
6,[0.59 0.59 8.92],12236,738,731,10767,10,1,4,5,25,21,51,0.0017162471395881006,0.004168028767571102,1
6,[0.59 0.59 8.92],12236,738,731,10767,7,1,1,5,16,15,19,0.0012258908139915004,0.0015527950310559005,2
6,[0.59 0.59 8.92],12236,738,731,10767,7,1,1,5,16,16,20,0.0013076168682576005,0.0016345210853220007,3
7,[0.59 2.24 0.59],4146,714,2756,676,3,1,1,1,8,6,6,0.001447178002894356,0.001447178002894356,0
